BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
     0	0.000	      -9.5	       1.7	      -0.9	      -1.5	      -9.6	      -3.6	      -4.6	       0.6	      -4.7	       0.5	       2.9	      -2.5	       1.8	       5.7	       1.8	      -1.8	      -5.7	       1.8	       3.0	       0.3	       8.9	      -3.0	      -0.3	       8.9	       1.4	       5.4	      -6.9	      -1.4	      -5.4	      -6.9	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.5	       2.1	       1.1	      -8.3	       3.6	
     1	0.010	      -9.6	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.6	       0.6	      -4.6	       0.4	       2.9	      -2.5	       1.8	       5.7	       1.8	      -1.8	      -5.7	       1.8	       3.0	       0.3	       8.9	      -3.0	      -0.3	       8.9	       1.4	       5.4	      -6.9	      -1.4	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.4	       2.1	       1.1	      -8.2	       3.6	
     2	0.020	      -9.6	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.6	       0.6	      -4.6	       0.4	       2.9	      -2.5	       1.8	       5.7	       1.8	      -1.8	      -5.7	       1.8	       3.0	       0.3	       8.9	      -3.0	      -0.3	       8.9	       1.4	       5.4	      -6.9	      -1.4	      -5.4	      -6.9	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.4	       2.1	       1.1	      -8.2	       3.6	
     3	0.030	      -9.6	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.6	       0.6	      -4.6	       0.4	       2.9	      -2.4	       1.8	       5.7	       1.9	      -1.8	      -5.7	       1.9	       3.0	       0.3	       8.9	      -3.0	      -0.3	       8.9	       1.3	       5.4	      -6.9	      -1.3	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.1	       1.1	      -8.2	       3.6	
     4	0.040	      -9.7	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.6	       0.6	      -4.6	       0.4	       2.9	      -2.4	       1.8	       5.7	       1.9	      -1.8	      -5.7	       1.9	       3.0	       0.3	       8.9	      -3.0	      -0.3	       8.9	       1.3	       5.4	      -6.9	      -1.3	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.1	       1.1	      -8.2	       3.6	
     5	0.050	      -9.7	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.6	       0.6	      -4.6	       0.5	       2.9	      -2.4	       1.8	       5.7	       1.9	      -1.8	      -5.7	       1.9	       3.0	       0.3	       8.9	      -3.0	      -0.3	       8.9	       1.3	       5.4	      -6.9	      -1.3	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.2	       0.0	      90.0	       1.6	     -12.3	       2.1	       1.1	      -8.3	       3.6	
     6	0.060	      -9.7	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.6	       0.6	      -4.6	       0.5	       2.9	      -2.4	       1.8	       5.8	       1.9	      -1.8	      -5.8	       1.9	       2.9	       0.3	       8.9	      -2.9	      -0.3	       8.9	       1.3	       5.4	      -6.9	      -1.3	      -5.4	      -6.9	     -24.6	    -180.0	      90.0	      14.1	      -0.0	      90.0	       1.6	     -12.3	       2.1	       1.1	      -8.3	       3.6	
     7	0.070	      -9.7	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.8	       5.8	       1.9	      -1.8	      -5.8	       1.9	       2.9	       0.3	       8.9	      -2.9	      -0.3	       8.9	       1.3	       5.4	      -6.9	      -1.3	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.1	       1.1	      -8.3	       3.6	
     8	0.080	      -9.6	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.6	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.8	       5.8	       1.9	      -1.8	      -5.8	       1.9	       2.9	       0.3	       8.9	      -2.9	      -0.3	       8.9	       1.3	       5.4	      -6.9	      -1.3	      -5.4	      -6.9	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.4	       2.1	       1.1	      -8.2	       3.6	
     9	0.090	      -9.6	       1.7	      -0.9	      -1.5	      -9.7	      -3.5	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.8	       5.8	       1.9	      -1.8	      -5.8	       1.9	       2.9	       0.3	       8.9	      -2.9	      -0.3	       8.9	       1.3	       5.4	      -6.9	      -1.3	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.4	       2.1	       1.1	      -8.2	       3.6	
    10	0.100	      -9.6	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.7	       0.7	      -4.6	       0.4	       2.9	      -2.4	       1.8	       5.8	       1.9	      -1.8	      -5.8	       1.9	       2.9	       0.3	       8.9	      -2.9	      -0.3	       8.9	       1.3	       5.4	      -6.9	      -1.3	      -5.4	      -6.9	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.1	       1.1	      -8.2	       3.5	
    11	0.110	      -9.6	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.8	       5.8	       1.9	      -1.8	      -5.8	       1.9	       2.9	       0.3	       8.9	      -2.9	      -0.3	       8.9	       1.3	       5.4	      -6.9	      -1.3	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.1	       1.1	      -8.2	       3.5	
    12	0.120	      -9.7	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.8	       5.8	       1.9	      -1.8	      -5.8	       1.9	       2.9	       0.3	       8.9	      -2.9	      -0.3	       8.9	       1.2	       5.4	      -6.9	      -1.2	      -5.4	      -6.9	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.1	       1.1	      -8.2	       3.6	
    13	0.130	      -9.7	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.8	       5.8	       1.9	      -1.8	      -5.8	       1.9	       2.9	       0.4	       8.9	      -2.9	      -0.4	       8.9	       1.2	       5.4	      -6.9	      -1.2	      -5.4	      -6.9	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.1	       1.1	      -8.3	       3.6	
    14	0.140	      -9.6	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.8	       5.8	       1.9	      -1.8	      -5.8	       1.9	       2.9	       0.4	       9.0	      -2.9	      -0.4	       9.0	       1.2	       5.4	      -7.0	      -1.2	      -5.4	      -7.0	     -24.6	     180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.3	       3.6	
    15	0.150	      -9.6	       1.7	      -0.9	      -1.5	      -9.7	      -3.5	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.9	       5.8	       1.9	      -1.9	      -5.8	       1.9	       2.9	       0.4	       9.0	      -2.9	      -0.4	       9.0	       1.2	       5.4	      -7.0	      -1.2	      -5.4	      -7.0	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.3	       3.6	
    16	0.160	      -9.6	       1.7	      -0.8	      -1.5	      -9.7	      -3.5	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.9	       5.8	       1.9	      -1.9	      -5.8	       1.9	       2.9	       0.4	       9.0	      -2.9	      -0.4	       9.0	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	    -180.0	      90.0	      14.2	       0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.2	       3.6	
    17	0.170	      -9.6	       1.7	      -0.9	      -1.5	      -9.7	      -3.5	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.9	       5.8	       1.9	      -1.9	      -5.8	       1.9	       2.9	       0.4	       9.0	      -2.9	      -0.4	       9.0	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	    -180.0	      90.0	      14.2	       0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.3	       3.6	
    18	0.180	      -9.5	       1.7	      -0.9	      -1.5	      -9.7	      -3.6	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.9	       5.8	       1.9	      -1.9	      -5.8	       1.9	       2.9	       0.4	       9.0	      -2.9	      -0.4	       9.0	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	     180.0	      90.0	      14.2	       0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.3	       3.6	
    19	0.190	      -9.6	       1.7	      -0.9	      -1.5	      -9.7	      -3.6	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.9	       5.8	       1.9	      -1.9	      -5.8	       1.9	       2.9	       0.4	       9.0	      -2.9	      -0.4	       9.0	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	    -180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.3	       3.6	
    20	0.200	      -9.5	       1.7	      -0.9	      -1.5	      -9.7	      -3.6	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.9	       5.8	       1.9	      -1.9	      -5.8	       1.9	       2.9	       0.4	       9.0	      -2.9	      -0.4	       9.0	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	    -180.0	      90.0	      14.2	       0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.3	       3.6	
    21	0.210	      -9.5	       1.7	      -0.9	      -1.5	      -9.7	      -3.6	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.4	       9.0	      -2.9	      -0.4	       9.0	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	     180.0	      90.0	      14.2	       0.0	      90.0	       1.6	     -12.4	       2.0	       1.1	      -8.3	       3.6	
    22	0.220	      -9.5	       1.7	      -0.9	      -1.5	      -9.7	      -3.6	      -4.7	       0.7	      -4.6	       0.5	       2.9	      -2.4	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.4	       9.0	      -2.9	      -0.4	       9.0	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	     180.0	      90.0	      14.2	       0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.3	       3.6	
    23	0.230	      -9.5	       1.7	      -0.9	      -1.5	      -9.7	      -3.6	      -4.7	       0.7	      -4.7	       0.5	       2.9	      -2.4	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.4	       9.0	      -2.9	      -0.4	       9.0	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	    -180.0	      90.0	      14.2	       0.0	      90.0	       1.5	     -12.3	       2.0	       1.1	      -8.3	       3.6	
    24	0.240	      -9.5	       1.7	      -0.9	      -1.6	      -9.7	      -3.6	      -4.7	       0.7	      -4.7	       0.5	       2.9	      -2.4	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.4	       9.0	      -2.9	      -0.4	       9.0	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	     180.0	      90.0	      14.2	      -0.0	      90.0	       1.5	     -12.3	       2.0	       1.1	      -8.3	       3.6	
    25	0.250	      -9.5	       1.7	      -0.9	      -1.6	      -9.7	      -3.6	      -4.7	       0.7	      -4.7	       0.5	       2.9	      -2.4	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.4	       9.0	      -2.9	      -0.4	       9.0	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	     180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.2	       3.6	
    26	0.260	      -9.5	       1.7	      -0.9	      -1.6	      -9.7	      -3.6	      -4.7	       0.7	      -4.7	       0.5	       2.9	      -2.4	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.4	       8.9	      -2.9	      -0.4	       8.9	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	     180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.3	       2.0	       1.1	      -8.2	       3.6	
    27	0.270	      -9.6	       1.7	      -0.9	      -1.6	      -9.7	      -3.6	      -4.7	       0.7	      -4.7	       0.5	       2.9	      -2.4	       1.9	       5.7	       1.8	      -1.9	      -5.7	       1.8	       2.9	       0.4	       8.9	      -2.9	      -0.4	       8.9	       1.2	       5.3	      -7.0	      -1.2	      -5.3	      -7.0	     -24.6	     180.0	      90.0	      14.2	       0.0	      90.0	       1.5	     -12.3	       2.0	       1.1	      -8.3	       3.6	
