BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
     0	0.000	      -3.7	       1.6	      -0.3	       0.5	      -7.0	      -2.2	      -5.2	       4.1	      -3.6	       3.3	       2.1	       0.8	      -0.8	       4.2	      -9.2	       0.8	      -4.2	      -9.2	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	    -180.0	      90.0	     -18.7	    -180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.2	      11.4	
     1	0.010	      -3.7	       1.6	      -0.2	       0.5	      -7.1	      -2.2	      -5.1	       4.2	      -3.5	       3.3	       2.0	       0.9	      -0.7	       4.2	      -9.2	       0.7	      -4.2	      -9.2	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.7	     180.0	      90.0	       1.7	     -10.8	       6.3	       1.0	     -13.2	      11.4	
     2	0.020	      -3.7	       1.6	      -0.2	       0.5	      -7.1	      -2.1	      -5.0	       4.2	      -3.5	       3.2	       2.0	       0.9	      -0.7	       4.2	      -9.2	       0.7	      -4.2	      -9.2	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.7	     180.0	      90.0	       1.7	     -10.8	       6.3	       1.0	     -13.2	      11.4	
     3	0.030	      -3.7	       1.6	      -0.2	       0.5	      -7.1	      -2.1	      -5.0	       4.2	      -3.5	       3.2	       2.0	       0.9	      -0.7	       4.2	      -9.2	       0.7	      -4.2	      -9.2	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.7	    -180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.2	      11.4	
     4	0.040	      -3.7	       1.6	      -0.2	       0.5	      -7.1	      -2.1	      -5.0	       4.2	      -3.5	       3.2	       2.0	       0.9	      -0.7	       4.2	      -9.3	       0.7	      -4.2	      -9.3	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.7	     180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.2	      11.4	
     5	0.050	      -3.8	       1.7	      -0.1	       0.5	      -7.1	      -2.1	      -5.0	       4.2	      -3.5	       3.1	       2.0	       0.9	      -0.7	       4.2	      -9.3	       0.7	      -4.2	      -9.3	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.7	    -180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.1	      11.4	
     6	0.060	      -3.8	       1.7	      -0.1	       0.5	      -7.1	      -2.1	      -5.0	       4.2	      -3.5	       3.1	       2.0	       0.9	      -0.7	       4.3	      -9.3	       0.7	      -4.3	      -9.3	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.7	     180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.1	      11.4	
     7	0.070	      -3.8	       1.7	      -0.1	       0.5	      -7.1	      -2.1	      -4.9	       4.3	      -3.4	       3.0	       2.0	       0.9	      -0.7	       4.3	      -9.3	       0.7	      -4.3	      -9.3	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	    -180.0	      90.0	     -18.7	    -180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.1	      11.4	
     8	0.080	      -3.8	       1.7	      -0.1	       0.5	      -7.2	      -2.1	      -4.9	       4.3	      -3.4	       3.0	       2.0	       1.0	      -0.6	       4.3	      -9.3	       0.6	      -4.3	      -9.3	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	     180.0	      90.0	     -18.7	     180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.1	      11.3	
     9	0.090	      -3.8	       1.7	      -0.1	       0.5	      -7.1	      -2.1	      -4.9	       4.3	      -3.4	       3.0	       2.0	       1.0	      -0.6	       4.3	      -9.3	       0.6	      -4.3	      -9.3	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	    -180.0	      90.0	     -18.7	     180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.1	      11.3	
