BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
     0	0.000	 -9.534204	  1.685697	 -0.851519	 -1.464387	 -9.645923	 -3.607096	 -4.602648	  0.611685	 -4.668724	  0.491918	  2.931579	 -2.450810	  1.781277	  5.726697	  1.819229	 -1.781277	 -5.726697	  1.819229	  3.007451	  0.271409	  8.851484	 -3.007451	 -0.271409	  8.851484	  1.404733	  5.412117	 -6.901630	 -1.404733	 -5.412117	 -6.901630	-24.595011	-180.000000	 90.000000	 14.184435	 -0.000014	 90.000000	  1.568418	-12.499310	  2.088378	  1.076288	 -8.296887	  3.597290	
     1	0.010	 -9.636206	  1.691409	 -0.788821	 -1.471265	 -9.662966	 -3.538147	 -4.590411	  0.621207	 -4.647607	  0.420285	  2.933002	 -2.460812	  1.791076	  5.735293	  1.838959	 -1.791076	 -5.735293	  1.838959	  2.981773	  0.273620	  8.868581	 -2.981773	 -0.273620	  8.868581	  1.371206	  5.419231	 -6.902241	 -1.371206	 -5.419231	 -6.902241	-24.596428	180.000000	 90.000000	 14.189003	 -0.000013	 90.000000	  1.569977	-12.375257	  2.106854	  1.063279	 -8.248120	  3.568091	
     2	0.020	 -9.635593	  1.689879	 -0.808896	 -1.465036	 -9.665956	 -3.540158	 -4.592721	  0.622730	 -4.639106	  0.418288	  2.934926	 -2.459120	  1.794370	  5.737011	  1.845777	 -1.794370	 -5.737011	  1.845777	  2.971768	  0.277556	  8.883716	 -2.971768	 -0.277556	  8.883716	  1.358425	  5.417308	 -6.911825	 -1.358425	 -5.417308	 -6.911825	-24.594795	-180.000000	 90.000000	 14.193541	 -0.000002	 90.000000	  1.563650	-12.387857	  2.094430	  1.059685	 -8.240416	  3.557770	
     3	0.030	 -9.642055	  1.689980	 -0.783785	 -1.481291	 -9.661275	 -3.512490	 -4.616324	  0.617951	 -4.629123	  0.448817	  2.936011	 -2.437731	  1.803666	  5.731460	  1.855634	 -1.803666	 -5.731460	  1.855634	  2.957683	  0.286439	  8.899944	 -2.957683	 -0.286439	  8.899944	  1.335387	  5.403458	 -6.920645	 -1.335387	 -5.403458	 -6.920645	-24.614168	180.000000	 90.000000	 14.184366	 -0.000003	 90.000000	  1.568627	-12.346320	  2.088952	  1.064997	 -8.245078	  3.557504	
     4	0.040	 -9.650881	  1.693852	 -0.766254	 -1.504734	 -9.668365	 -3.491415	 -4.621847	  0.624338	 -4.623710	  0.444029	  2.933105	 -2.446255	  1.806459	  5.734856	  1.867101	 -1.806459	 -5.734856	  1.867101	  2.957773	  0.296526	  8.901869	 -2.957773	 -0.296526	  8.901869	  1.333525	  5.396597	 -6.911277	 -1.333525	 -5.396597	 -6.911277	-24.624798	180.000000	 90.000000	 14.170781	 -0.000006	 90.000000	  1.571849	-12.305606	  2.104101	  1.064345	 -8.231875	  3.554178	
     5	0.050	 -9.671552	  1.693892	 -0.781910	 -1.477567	 -9.677323	 -3.493995	 -4.621479	  0.633217	 -4.619255	  0.463924	  2.932711	 -2.442323	  1.808348	  5.743256	  1.874813	 -1.808348	 -5.743256	  1.874813	  2.952455	  0.301341	  8.911972	 -2.952455	 -0.301341	  8.911972	  1.327143	  5.400250	 -6.914175	 -1.327143	 -5.400250	 -6.914175	-24.620235	180.000000	 90.000000	 14.159084	  0.000004	 90.000000	  1.569801	-12.304946	  2.091575	  1.073106	 -8.258101	  3.558091	
     6	0.060	 -9.701494	  1.692353	 -0.801755	 -1.467940	 -9.692129	 -3.496553	 -4.628495	  0.645688	 -4.612366	  0.489339	  2.936795	 -2.432433	  1.807154	  5.754695	  1.881226	 -1.807154	 -5.754695	  1.881226	  2.946751	  0.308327	  8.923680	 -2.946751	 -0.308327	  8.923680	  1.323377	  5.404707	 -6.919651	 -1.323377	 -5.404707	 -6.919651	-24.615925	-180.000000	 90.000000	 14.143527	 -0.000007	 90.000000	  1.569121	-12.284443	  2.063844	  1.069790	 -8.265579	  3.578159	
     7	0.070	 -9.668354	  1.696430	 -0.801606	 -1.473832	 -9.704570	 -3.491198	 -4.653260	  0.658075	 -4.601370	  0.528576	  2.937428	 -2.421304	  1.812041	  5.762055	  1.889415	 -1.812041	 -5.762055	  1.889415	  2.932951	  0.317067	  8.919202	 -2.932951	 -0.317067	  8.919202	  1.305343	  5.403793	 -6.908676	 -1.305343	 -5.403793	 -6.908676	-24.613567	180.000000	 90.000000	 14.155645	 -0.000013	 90.000000	  1.572349	-12.320048	  2.076521	  1.067479	 -8.273660	  3.582953	
     8	0.080	 -9.628630	  1.696187	 -0.826093	 -1.480055	 -9.704450	 -3.506674	 -4.642873	  0.654986	 -4.587837	  0.501909	  2.940718	 -2.408358	  1.802655	  5.762103	  1.888814	 -1.802655	 -5.762103	  1.888814	  2.918399	  0.322587	  8.916981	 -2.918399	 -0.322587	  8.916981	  1.299908	  5.398519	 -6.907594	 -1.299908	 -5.398519	 -6.907594	-24.610786	-180.000000	 90.000000	 14.157453	 -0.000011	 90.000000	  1.568986	-12.365011	  2.067225	  1.064901	 -8.249783	  3.570693	
     9	0.090	 -9.608572	  1.699995	 -0.852450	 -1.482078	 -9.709072	 -3.520290	 -4.656791	  0.658088	 -4.583237	  0.467563	  2.938421	 -2.397445	  1.808342	  5.763252	  1.888367	 -1.808342	 -5.763252	  1.888367	  2.911731	  0.325167	  8.926387	 -2.911731	 -0.325167	  8.926387	  1.287413	  5.397533	 -6.918668	 -1.287413	 -5.397533	 -6.918668	-24.622023	180.000000	 90.000000	 14.163347	 -0.000014	 90.000000	  1.564018	-12.379220	  2.051079	  1.062846	 -8.210508	  3.565782	
