BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	41
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	 MIDASIS.X	 MIDASIS.Y	 MIDASIS.Z	l asis 2.X	l asis 2.Y	l asis 2.Z	r asis 2.X	r asis 2.Y	r asis 2.Z	      RA.X	      RA.Y	      RA.Z	      RT.X	      RT.Y	      RT.Z	      RK.X	      RK.Y	      RK.Z	    RCCG.X	    RCCG.Y	    RCCG.Z	      PO.X	      PO.Y	      PO.Z	     SHO.X	     SHO.Y	     SHO.Z	     RHP.X	     RHP.Y	     RHP.Z	    RTCG.X	    RTCG.Y	    RTCG.Z	     LHP.X	     LHP.Y	     LHP.Z	      LK.X	      LK.Y	      LK.Z	    LTCG.X	    LTCG.Y	    LTCG.Z	      LA.X	      LA.Y	      LA.Z	    LCCG.X	    LCCG.Y	    LCCG.Z	      LT.X	      LT.Y	      LT.Z	    RFCG.X	    RFCG.Y	    RFCG.Z	    LFCG.X	    LFCG.Y	    LFCG.Z	
     0	0.000	  0.471711	  0.981647	  0.646490	  0.664339	  0.961243	  0.792242	  0.570810	  0.873192	  0.834199	  0.563460	  0.694083	  0.941005	  0.551597	  0.479785	  0.816514	  0.534867	  0.412581	  0.817394	  0.516453	  0.309791	  0.868175	  0.509164	  0.073226	  0.821123	  0.614055	  0.015323	  0.875098	  0.682808	  0.989289	  0.509243	  0.567933	  0.915659	  0.458395	  0.560183	  0.707445	  0.341372	  0.548345	  0.484364	  0.448714	  0.547296	  0.426342	  0.447237	  0.530838	  0.316037	  0.392974	  0.515117	  0.072543	  0.441235	  0.631306	  0.024988	  0.408654	  0.452525	  0.018093	  0.754391	  0.450914	  0.022512	  0.490291	  0.572819	  1.475014	  0.817506	  0.508542	  1.487076	  0.642071	  0.588268	  1.476618	  0.479183	  0.673573	  0.975266	  0.650742	  0.682647	  0.989044	  0.511718	  0.664500	  0.961488	  0.789767	  0.518497	  0.072035	  0.777118	  0.623387	  0.014132	  0.831092	  0.551049	  0.482281	  0.761573	  0.537866	  0.316132	  0.767869	  0.673573	  0.975266	  0.650742	  0.580544	  1.475816	  0.648345	  0.587268	  0.861485	  0.736181	  0.570788	  0.688947	  0.747735	  0.592014	  0.881127	  0.540378	  0.547455	  0.483170	  0.503693	  0.571739	  0.700057	  0.523687	  0.520484	  0.071297	  0.485896	  0.536532	  0.316361	  0.496485	  0.636673	  0.023742	  0.453316	  0.528046	  0.016342	  0.788293	  0.533019	  0.023056	  0.473948	
     1	0.010	  0.471624	  0.981709	  0.646455	  0.664320	  0.961213	  0.792230	  0.571506	  0.872991	  0.834272	  0.563467	  0.694090	  0.940994	  0.551658	  0.479809	  0.816531	  0.535001	  0.412594	  0.817407	  0.516446	  0.309801	  0.868149	  0.509216	  0.073229	  0.821121	  0.614141	  0.015311	  0.875115	  0.682800	  0.989299	  0.509241	  0.567929	  0.915709	  0.458386	  0.560225	  0.707448	  0.341346	  0.548349	  0.484373	  0.448678	  0.547388	  0.426349	  0.447229	  0.530765	  0.316059	  0.392938	  0.515080	  0.072561	  0.441224	  0.631314	  0.024972	  0.408619	  0.452559	  0.018056	  0.754354	  0.450887	  0.022542	  0.490277	  0.573023	  1.475034	  0.817552	  0.508599	  1.487135	  0.642118	  0.588321	  1.476651	  0.479210	  0.673560	  0.975256	  0.650735	  0.682639	  0.989054	  0.511713	  0.664481	  0.961459	  0.789758	  0.518653	  0.072030	  0.777138	  0.623578	  0.014113	  0.831132	  0.551308	  0.482306	  0.761589	  0.538083	  0.316144	  0.767886	  0.673560	  0.975256	  0.650735	  0.580672	  1.475842	  0.648381	  0.587204	  0.861491	  0.736144	  0.570871	  0.688962	  0.747721	  0.591983	  0.881162	  0.540345	  0.547437	  0.483177	  0.503657	  0.571715	  0.700079	  0.523652	  0.520549	  0.071304	  0.485872	  0.536547	  0.316369	  0.496454	  0.636782	  0.023714	  0.453267	  0.528150	  0.016313	  0.788290	  0.533053	  0.023060	  0.473919	
     2	0.020	  0.471667	  0.981728	  0.646428	  0.664391	  0.961206	  0.792193	  0.571349	  0.873051	  0.834230	  0.563472	  0.694097	  0.940955	  0.551661	  0.479835	  0.816510	  0.535035	  0.412604	  0.817373	  0.516447	  0.309808	  0.868141	  0.509233	  0.073250	  0.821118	  0.614165	  0.015340	  0.875109	  0.682796	  0.989298	  0.509242	  0.567995	  0.915717	  0.458374	  0.560263	  0.707472	  0.341311	  0.548384	  0.484392	  0.448650	  0.547442	  0.426336	  0.447222	  0.530805	  0.316057	  0.392929	  0.515118	  0.072574	  0.441208	  0.631292	  0.024986	  0.408607	  0.452600	  0.018081	  0.754326	  0.450853	  0.022589	  0.490248	  0.573142	  1.475044	  0.817570	  0.508687	  1.487177	  0.642155	  0.588381	  1.476684	  0.479232	  0.673593	  0.975252	  0.650718	  0.682637	  0.989054	  0.511693	  0.664550	  0.961449	  0.789742	  0.518690	  0.072046	  0.777139	  0.623621	  0.014136	  0.831130	  0.551266	  0.482331	  0.761568	  0.538073	  0.316165	  0.767874	  0.673593	  0.975252	  0.650718	  0.580761	  1.475864	  0.648401	  0.587220	  0.861494	  0.736119	  0.570861	  0.688975	  0.747698	  0.592011	  0.881171	  0.540320	  0.547480	  0.483194	  0.503630	  0.571749	  0.700091	  0.523626	  0.520593	  0.071315	  0.485856	  0.536591	  0.316383	  0.496431	  0.636767	  0.023727	  0.453254	  0.528191	  0.016337	  0.788273	  0.533027	  0.023092	  0.473897	
     3	0.030	  0.471689	  0.981760	  0.646377	  0.664505	  0.961214	  0.792170	  0.571957	  0.872843	  0.834289	  0.563460	  0.694133	  0.940905	  0.551638	  0.479858	  0.816489	  0.535054	  0.412617	  0.817345	  0.516498	  0.309818	  0.868132	  0.509332	  0.073264	  0.821096	  0.614180	  0.015338	  0.875107	  0.682806	  0.989281	  0.509225	  0.568036	  0.915733	  0.458344	  0.560287	  0.707509	  0.341269	  0.548441	  0.484399	  0.448626	  0.547399	  0.426346	  0.447218	  0.530843	  0.316055	  0.392894	  0.515108	  0.072585	  0.441187	  0.631292	  0.024997	  0.408605	  0.452559	  0.018122	  0.754319	  0.450794	  0.022672	  0.490219	  0.573226	  1.475026	  0.817587	  0.508782	  1.487199	  0.642160	  0.588381	  1.476719	  0.479257	  0.673656	  0.975247	  0.650698	  0.682648	  0.989038	  0.511669	  0.664663	  0.961457	  0.789726	  0.518779	  0.072062	  0.777115	  0.623627	  0.014136	  0.831126	  0.551410	  0.482358	  0.761546	  0.538195	  0.316188	  0.767851	  0.673656	  0.975247	  0.650698	  0.580803	  1.475873	  0.648422	  0.587250	  0.861513	  0.736097	  0.570943	  0.688998	  0.747676	  0.592073	  0.881171	  0.540298	  0.547549	  0.483201	  0.503606	  0.571814	  0.700095	  0.523603	  0.520521	  0.071330	  0.485842	  0.536603	  0.316393	  0.496411	  0.636706	  0.023742	  0.453260	  0.528171	  0.016360	  0.788268	  0.532967	  0.023145	  0.473883	
     4	0.040	  0.471722	  0.981791	  0.646352	  0.664586	  0.961196	  0.792154	  0.572145	  0.872815	  0.834270	  0.563442	  0.694167	  0.940852	  0.551673	  0.479868	  0.816484	  0.535085	  0.412626	  0.817342	  0.516516	  0.309825	  0.868105	  0.509368	  0.073275	  0.821082	  0.614198	  0.015377	  0.875107	  0.682857	  0.989279	  0.509203	  0.568025	  0.915764	  0.458298	  0.560308	  0.707526	  0.341257	  0.548458	  0.484397	  0.448615	  0.547418	  0.426360	  0.447205	  0.530845	  0.316072	  0.392875	  0.515123	  0.072595	  0.441171	  0.631366	  0.025008	  0.408606	  0.452558	  0.018136	  0.754324	  0.450806	  0.022682	  0.490216	  0.573308	  1.474994	  0.817623	  0.508862	  1.487200	  0.642181	  0.588465	  1.476747	  0.479273	  0.673721	  0.975237	  0.650679	  0.682699	  0.989036	  0.511650	  0.664744	  0.961439	  0.789707	  0.518831	  0.072074	  0.777105	  0.623661	  0.014175	  0.831129	  0.551513	  0.482363	  0.761540	  0.538277	  0.316196	  0.767844	  0.673721	  0.975237	  0.650679	  0.580887	  1.475871	  0.648448	  0.587291	  0.861514	  0.736068	  0.571012	  0.689001	  0.747658	  0.592123	  0.881184	  0.540270	  0.547557	  0.483204	  0.503595	  0.571846	  0.700103	  0.523583	  0.520549	  0.071338	  0.485825	  0.536619	  0.316398	  0.496398	  0.636792	  0.023751	  0.453260	  0.528185	  0.016386	  0.788272	  0.533012	  0.023155	  0.473882	
     5	0.050	  0.471721	  0.981811	  0.646349	  0.664622	  0.961168	  0.792146	  0.572178	  0.872798	  0.834254	  0.563542	  0.694191	  0.940827	  0.551679	  0.479878	  0.816466	  0.535095	  0.412639	  0.817325	  0.516512	  0.309841	  0.868096	  0.509363	  0.073274	  0.821067	  0.614230	  0.015370	  0.875096	  0.682923	  0.989289	  0.509213	  0.568050	  0.915780	  0.458263	  0.560343	  0.707553	  0.341234	  0.548481	  0.484410	  0.448602	  0.547421	  0.426386	  0.447150	  0.530878	  0.316069	  0.392846	  0.515119	  0.072618	  0.441156	  0.631424	  0.025008	  0.408602	  0.452541	  0.018156	  0.754317	  0.450806	  0.022700	  0.490240	  0.573441	  1.474986	  0.817674	  0.508943	  1.487225	  0.642209	  0.588567	  1.476767	  0.479296	  0.673773	  0.975229	  0.650679	  0.682765	  0.989047	  0.511653	  0.664780	  0.961411	  0.789705	  0.518832	  0.072071	  0.777091	  0.623700	  0.014167	  0.831120	  0.551482	  0.482375	  0.761523	  0.538259	  0.316202	  0.767828	  0.673773	  0.975229	  0.650679	  0.581004	  1.475876	  0.648485	  0.587326	  0.861504	  0.736050	  0.571017	  0.689000	  0.747640	  0.592164	  0.881202	  0.540255	  0.547576	  0.483220	  0.503582	  0.571877	  0.700120	  0.523569	  0.520518	  0.071368	  0.485813	  0.536617	  0.316420	  0.496385	  0.636822	  0.023758	  0.453259	  0.528193	  0.016393	  0.788264	  0.533025	  0.023168	  0.473894	
     6	0.060	  0.471653	  0.981852	  0.646323	  0.664663	  0.961156	  0.792106	  0.572206	  0.872808	  0.834215	  0.563601	  0.694206	  0.940818	  0.551683	  0.479889	  0.816438	  0.535121	  0.412636	  0.817314	  0.516498	  0.309854	  0.868097	  0.509391	  0.073298	  0.821071	  0.614253	  0.015362	  0.875094	  0.682984	  0.989330	  0.509192	  0.568137	  0.915781	  0.458242	  0.560350	  0.707574	  0.341217	  0.548497	  0.484436	  0.448561	  0.547464	  0.426390	  0.447128	  0.530915	  0.316071	  0.392815	  0.515105	  0.072638	  0.441153	  0.631481	  0.025020	  0.408618	  0.452532	  0.018195	  0.754305	  0.450901	  0.022683	  0.490221	  0.573528	  1.474983	  0.817701	  0.508994	  1.487262	  0.642237	  0.588622	  1.476806	  0.479307	  0.673823	  0.975243	  0.650649	  0.682827	  0.989088	  0.511626	  0.664820	  0.961399	  0.789671	  0.518895	  0.072091	  0.777102	  0.623756	  0.014155	  0.831125	  0.551467	  0.482387	  0.761495	  0.538275	  0.316217	  0.767816	  0.673823	  0.975243	  0.650649	  0.581075	  1.475894	  0.648504	  0.587367	  0.861511	  0.735999	  0.571033	  0.689009	  0.747600	  0.592201	  0.881248	  0.540208	  0.547613	  0.483242	  0.503541	  0.571914	  0.700155	  0.523525	  0.520492	  0.071391	  0.485812	  0.536629	  0.316443	  0.496361	  0.636868	  0.023773	  0.453277	  0.528213	  0.016409	  0.788259	  0.533098	  0.023164	  0.473891	
     7	0.070	  0.471695	  0.981877	  0.646284	  0.664708	  0.961136	  0.792066	  0.572245	  0.872819	  0.834184	  0.563567	  0.694198	  0.940801	  0.551653	  0.479890	  0.816422	  0.535089	  0.412651	  0.817305	  0.516518	  0.309869	  0.868102	  0.509398	  0.073300	  0.821067	  0.614253	  0.015370	  0.875081	  0.683002	  0.989344	  0.509179	  0.568126	  0.915781	  0.458205	  0.560318	  0.707576	  0.341185	  0.548523	  0.484423	  0.448546	  0.547498	  0.426389	  0.447143	  0.530973	  0.316071	  0.392811	  0.515126	  0.072632	  0.441172	  0.631478	  0.025021	  0.408614	  0.452626	  0.018168	  0.754301	  0.450863	  0.022698	  0.490190	  0.573658	  1.474980	  0.817744	  0.509094	  1.487278	  0.642292	  0.588671	  1.476855	  0.479337	  0.673855	  0.975240	  0.650623	  0.682846	  0.989103	  0.511601	  0.664864	  0.961377	  0.789644	  0.518864	  0.072096	  0.777091	  0.623720	  0.014166	  0.831104	  0.551456	  0.482384	  0.761479	  0.538256	  0.316218	  0.767802	  0.673855	  0.975240	  0.650623	  0.581165	  1.475918	  0.648541	  0.587377	  0.861508	  0.735952	  0.571033	  0.689007	  0.747567	  0.592228	  0.881271	  0.540164	  0.547659	  0.483231	  0.503527	  0.571949	  0.700163	  0.523494	  0.520488	  0.071387	  0.485834	  0.536654	  0.316434	  0.496361	  0.636840	  0.023777	  0.453276	  0.528249	  0.016399	  0.788248	  0.533065	  0.023175	  0.473874	
     8	0.080	  0.471730	  0.981874	  0.646290	  0.664685	  0.961138	  0.792035	  0.571883	  0.872938	  0.834095	  0.563529	  0.694214	  0.940771	  0.551628	  0.479884	  0.816413	  0.535066	  0.412672	  0.817294	  0.516526	  0.309870	  0.868093	  0.509386	  0.073308	  0.821074	  0.614261	  0.015375	  0.875088	  0.682966	  0.989345	  0.509154	  0.568092	  0.915793	  0.458164	  0.560320	  0.707571	  0.341153	  0.548568	  0.484416	  0.448518	  0.547535	  0.426390	  0.447131	  0.530977	  0.316076	  0.392814	  0.515151	  0.072639	  0.441164	  0.631487	  0.025020	  0.408605	  0.452598	  0.018171	  0.754301	  0.450793	  0.022734	  0.490207	  0.573766	  1.474972	  0.817780	  0.509216	  1.487275	  0.642314	  0.588693	  1.476880	  0.479364	  0.673825	  0.975241	  0.650595	  0.682810	  0.989104	  0.511573	  0.664841	  0.961379	  0.789617	  0.518830	  0.072104	  0.777093	  0.623704	  0.014170	  0.831107	  0.551346	  0.482370	  0.761470	  0.538177	  0.316212	  0.767797	  0.673825	  0.975241	  0.650595	  0.581229	  1.475926	  0.648572	  0.587363	  0.861509	  0.735938	  0.570975	  0.689001	  0.747555	  0.592181	  0.881271	  0.540149	  0.547705	  0.483225	  0.503499	  0.571945	  0.700160	  0.523473	  0.520539	  0.071393	  0.485823	  0.536703	  0.316433	  0.496340	  0.636875	  0.023774	  0.453264	  0.528227	  0.016403	  0.788249	  0.533041	  0.023193	  0.473878	
     9	0.090	  0.471748	  0.981874	  0.646258	  0.664693	  0.961137	  0.792022	  0.571402	  0.873101	  0.833998	  0.563497	  0.694234	  0.940746	  0.551671	  0.479882	  0.816409	  0.535038	  0.412665	  0.817263	  0.516533	  0.309876	  0.868085	  0.509431	  0.073296	  0.821073	  0.614266	  0.015378	  0.875097	  0.683026	  0.989348	  0.509143	  0.568064	  0.915798	  0.458147	  0.560356	  0.707556	  0.341140	  0.548657	  0.484420	  0.448506	  0.547587	  0.426381	  0.447124	  0.530969	  0.316073	  0.392796	  0.515161	  0.072636	  0.441152	  0.631419	  0.025020	  0.408599	  0.452555	  0.018187	  0.754293	  0.450778	  0.022759	  0.490206	  0.573868	  1.474969	  0.817811	  0.509279	  1.487294	  0.642344	  0.588756	  1.476891	  0.479391	  0.673860	  0.975242	  0.650582	  0.682869	  0.989107	  0.511562	  0.664850	  0.961378	  0.789602	  0.518862	  0.072090	  0.777089	  0.623696	  0.014173	  0.831113	  0.551282	  0.482359	  0.761466	  0.538152	  0.316200	  0.767793	  0.673860	  0.975242	  0.650582	  0.581312	  1.475930	  0.648601	  0.587389	  0.861507	  0.735915	  0.570960	  0.688995	  0.747540	  0.592227	  0.881274	  0.540127	  0.547791	  0.483230	  0.503487	  0.572009	  0.700164	  0.523455	  0.520587	  0.071385	  0.485806	  0.536773	  0.316433	  0.496326	  0.636845	  0.023768	  0.453253	  0.528199	  0.016413	  0.788247	  0.533019	  0.023205	  0.473873	
