BTS ASCII format

Type:         	3D vector tracks
Measure unit: 	%

Tracks:       	8
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	 vRLASIS.X	 vRLASIS.Y	 vRLASIS.Z	 vLRASIS.X	 vLRASIS.Y	 vLRASIS.Z	    vRFz.X	    vRFz.Y	    vRFz.Z	    vLFz.X	    vLFz.Y	    vLFz.Z	    vRFx.X	    vRFx.Y	    vRFx.Z	    vRFy.X	    vRFy.Y	    vRFy.Z	    vLFx.X	    vLFx.Y	    vLFx.Z	    vLFy.X	    vLFy.Y	    vLFy.Z	
     0	0.000	  6.480976	  9.841318	-99.303299	 -6.480976	 -9.841318	 99.303299	 20.738979	 -2.645503	-97.790062	-11.926623	  2.768636	-99.247620	-91.209053	  2.114488	-40.944324	  3.223287	 99.927628	 -2.019747	-98.073875	 -0.649186	 19.521627	 -0.104128	 99.960709	  2.801041	
     1	0.010	  6.484865	  9.855340	-99.301651	 -6.484865	 -9.855340	 99.301651	 20.970625	 -2.663018	-97.740173	-12.152195	  2.793918	-99.219543	-91.208031	  2.102792	-40.947205	  3.216315	 99.927589	 -2.032541	-98.073326	 -0.618472	 19.525375	 -0.068313	 99.960121	  2.823139	
     2	0.020	  6.459517	  9.858967	-99.302948	 -6.459517	 -9.858967	 99.302948	 21.014599	 -2.676115	-97.730370	-12.167694	  2.798720	-99.217514	-91.202965	  2.103667	-40.958443	  3.222542	 99.927177	 -2.043338	-98.075462	 -0.600286	 19.515219	 -0.049550	 99.960052	  2.825742	
     3	0.030	  6.423297	  9.850523	-99.306137	 -6.423297	 -9.850523	 99.306137	 20.993164	 -2.671283	-97.735107	-12.029806	  2.789944	-99.234566	-91.206261	  2.125188	-40.949989	  3.241979	 99.926720	 -2.034817	-98.079102	 -0.564627	 19.497974	 -0.016369	 99.960449	  2.812336	
     4	0.040	  6.412578	  9.856165	-99.306267	 -6.412578	 -9.856165	 99.306267	 21.028269	 -2.670588	-97.727577	-12.057487	  2.793371	-99.231110	-91.209908	  2.111340	-40.942585	  3.227187	 99.927170	 -2.036294	-98.080910	 -0.563418	 19.488922	 -0.014730	 99.960350	  2.815689	
     5	0.050	  6.423099	  9.869968	-99.304214	 -6.423099	 -9.869968	 99.304214	 21.043213	 -2.673135	-97.724297	-11.996822	  2.776864	-99.238930	-91.214943	  2.125792	-40.930614	  3.242094	 99.926704	 -2.035251	-98.079025	 -0.558116	 19.498537	 -0.012456	 99.960831	  2.798570	
     6	0.060	  6.430849	  9.889009	-99.301819	 -6.430849	 -9.889009	 99.301819	 21.118332	 -2.683121	-97.707817	-11.970200	  2.771003	-99.242310	-91.216972	  2.152207	-40.924721	  3.271554	 99.925713	 -2.036920	-98.081665	 -0.574996	 19.484762	 -0.030806	 99.960938	  2.794784	
     7	0.070	  6.421872	  9.901864	-99.301125	 -6.421872	 -9.901864	 99.301125	 21.036875	 -2.676002	-97.725586	-11.914970	  2.765573	-99.249107	-91.209160	  2.133630	-40.943089	  3.251630	 99.926376	 -2.036304	-98.084892	 -0.568777	 19.468723	 -0.026161	 99.961105	  2.788554	
     8	0.080	  6.417334	  9.901584	-99.301437	 -6.417334	 -9.901584	 99.301437	 20.985744	 -2.676498	-97.736565	-11.972585	  2.769927	-99.242050	-91.209671	  2.132675	-40.942013	  3.251447	 99.926338	 -2.038322	-98.084282	 -0.548313	 19.472357	 -0.004801	 99.961052	  2.790574	
     9	0.090	  6.435533	  9.903270	-99.300095	 -6.435533	 -9.903270	 99.300095	 20.957512	 -2.678664	-97.742554	-12.057752	  2.780523	-99.231445	-91.209976	  2.139338	-40.940975	  3.259306	 99.926056	 -2.039659	-98.082993	 -0.532293	 19.479326	  0.013463	 99.960808	  2.799324	
    10	0.100	  6.460648	  9.916374	-99.297157	 -6.460648	 -9.916374	 99.297157	 20.915518	 -2.678896	-97.751549	-12.094178	  2.782543	-99.226952	-91.206337	  2.139946	-40.949059	  3.260788	 99.925980	 -2.040788	-98.079475	 -0.513692	 19.497528	  0.032899	 99.960808	  2.799112	
    11	0.110	  6.456841	  9.909877	-99.298058	 -6.456841	 -9.909877	 99.298058	 20.900965	 -2.673732	-97.754799	-12.042524	  2.771865	-99.233536	-91.208153	  2.131778	-40.945435	  3.250511	 99.926376	 -2.038135	-98.085236	 -0.507532	 19.468664	  0.036105	 99.961128	  2.787807	
