BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
     0	0.000	 -3.713865	  1.600948	 -0.299109	  0.491277	 -7.019376	 -2.200910	 -5.155881	  4.117444	 -3.574385	  3.310956	  2.052418	  0.846416	 -0.751568	  4.161624	 -9.188430	  0.751568	 -4.161624	 -9.188430	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.849415	-180.000000	 90.000000	-18.726198	-180.000000	 90.000000	  1.646251	-10.848354	  6.325356	  0.964492	-13.175493	 11.431510	
     1	0.010	 -3.732390	  1.613460	 -0.227962	  0.477731	 -7.052084	 -2.157654	 -5.093163	  4.152853	 -3.545486	  3.262199	  2.032703	  0.881890	 -0.735826	  4.186131	 -9.212500	  0.735826	 -4.186131	 -9.212500	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.846207	180.000000	 90.000000	-18.723429	180.000000	 90.000000	  1.650530	-10.825866	  6.336749	  0.960903	-13.186750	 11.433709	
     2	0.020	 -3.730913	  1.629575	 -0.181385	  0.452777	 -7.088376	 -2.132842	 -5.038321	  4.188521	 -3.519148	  3.204853	  2.014915	  0.914173	 -0.718415	  4.212211	 -9.232115	  0.718415	 -4.212211	 -9.232115	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.846796	180.000000	 90.000000	-18.720583	180.000000	 90.000000	  1.651162	-10.811230	  6.344966	  0.960495	-13.172823	 11.428143	
     3	0.030	 -3.738309	  1.636591	 -0.170875	  0.456396	 -7.099119	 -2.120985	 -5.026765	  4.201005	 -3.507759	  3.191610	  2.010228	  0.919494	 -0.715121	  4.221764	 -9.240645	  0.715121	 -4.221764	 -9.240645	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.843346	180.000000	 90.000000	-18.722281	-180.000000	 90.000000	  1.645023	-10.803938	  6.344105	  0.963438	-13.170729	 11.423854	
     4	0.040	 -3.749749	  1.645377	 -0.158543	  0.464366	 -7.113126	 -2.110617	 -5.007858	  4.215940	 -3.493118	  3.162237	  2.007286	  0.926657	 -0.705338	  4.232988	 -9.251135	  0.705338	 -4.232988	 -9.251135	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.837074	180.000000	 90.000000	-18.722906	180.000000	 90.000000	  1.641186	-10.803175	  6.345157	  0.965593	-13.155031	 11.414257	
     5	0.050	 -3.768391	  1.656737	 -0.140197	  0.474200	 -7.132817	 -2.096583	 -4.975418	  4.236475	 -3.473810	  3.117483	  2.001758	  0.936724	 -0.689691	  4.248689	 -9.262881	  0.689691	 -4.248689	 -9.262881	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.828606	180.000000	 90.000000	-18.724094	-180.000000	 90.000000	  1.638604	-10.800031	  6.346339	  0.967634	-13.131555	 11.397612	
     6	0.060	 -3.792468	  1.665008	 -0.130350	  0.489858	 -7.144841	 -2.085829	 -4.950488	  4.249224	 -3.456425	  3.072983	  1.999366	  0.940768	 -0.674273	  4.259814	 -9.270853	  0.674273	 -4.259814	 -9.270853	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.817822	180.000000	 90.000000	-18.726652	180.000000	 90.000000	  1.636078	-10.795075	  6.344412	  0.970109	-13.099750	 11.374513	
     7	0.070	 -3.814881	  1.669766	 -0.123203	  0.501532	 -7.148901	 -2.075915	 -4.934077	  4.254063	 -3.440957	  3.040409	  1.997771	  0.943957	 -0.660101	  4.265816	 -9.277414	  0.660101	 -4.265816	 -9.277414	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.805954	-180.000000	 90.000000	-18.728741	-180.000000	 90.000000	  1.632848	-10.786024	  6.341196	  0.972873	-13.074323	 11.353783	
     8	0.080	 -3.830480	  1.673597	 -0.114941	  0.508169	 -7.150616	 -2.066308	 -4.918713	  4.255841	 -3.425066	  3.030176	  1.990250	  0.958544	 -0.645616	  4.270261	 -9.285091	  0.645616	 -4.270261	 -9.285091	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.794199	180.000000	 90.000000	-18.731033	180.000000	 90.000000	  1.630752	-10.779281	  6.338224	  0.974660	-13.072331	 11.343851	
     9	0.090	 -3.842305	  1.675696	 -0.108187	  0.511553	 -7.148422	 -2.056083	 -4.905374	  4.253512	 -3.408071	  3.041691	  1.978054	  0.982707	 -0.632049	  4.272767	 -9.293235	  0.632049	 -4.272767	 -9.293235	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.781837	-180.000000	 90.000000	-18.734768	180.000000	 90.000000	  1.629106	-10.771987	  6.333648	  0.976147	-13.092433	 11.342677	
