BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	63
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	l should s.X	l should s.Y	l should s.Z	l asis s.X	l asis s.Y	l asis s.Z	l thigh s.X	l thigh s.Y	l thigh s.Z	l bar 1 s.X	l bar 1 s.Y	l bar 1 s.Z	l knee 1 s.X	l knee 1 s.Y	l knee 1 s.Z	l knee 2 s.X	l knee 2 s.Y	l knee 2 s.Z	l bar 2 s.X	l bar 2 s.Y	l bar 2 s.Z	l mall s.X	l mall s.Y	l mall s.Z	 l met s.X	 l met s.Y	 l met s.Z	    C7 s.X	    C7 s.Y	    C7 s.Z	sacrum s.X	sacrum s.Y	sacrum s.Z	r should s.X	r should s.Y	r should s.Z	r asis s.X	r asis s.Y	r asis s.Z	r thigh s.X	r thigh s.Y	r thigh s.Z	r bar 1 s.X	r bar 1 s.Y	r bar 1 s.Z	r knee 1 s.X	r knee 1 s.Y	r knee 1 s.Z	r knee 2 s.X	r knee 2 s.Y	r knee 2 s.Z	r bar 2 s.X	r bar 2 s.Y	r bar 2 s.Z	r mall s.X	r mall s.Y	r mall s.Z	 r met s.X	 r met s.Y	 r met s.Z	     SHO.X	     SHO.Y	     SHO.Z	 MIDASIS.X	 MIDASIS.Y	 MIDASIS.Z	r asis s2.X	r asis s2.Y	r asis s2.Z	l asis s2.X	l asis s2.Y	l asis s2.Z	      RA.X	      RA.Y	      RA.Z	      RT.X	      RT.Y	      RT.Z	    RFCG.X	    RFCG.Y	    RFCG.Z	      RK.X	      RK.Y	      RK.Z	    RCCG.X	    RCCG.Y	    RCCG.Z	      PO.X	      PO.Y	      PO.Z	     RHP.X	     RHP.Y	     RHP.Z	    RTCG.X	    RTCG.Y	    RTCG.Z	     LHP.X	     LHP.Y	     LHP.Z	      LK.X	      LK.Y	      LK.Z	    LTCG.X	    LTCG.Y	    LTCG.Z	      LA.X	      LA.Y	      LA.Z	    LCCG.X	    LCCG.Y	    LCCG.Z	      LT.X	      LT.Y	      LT.Z	    LFCG.X	    LFCG.Y	    LFCG.Z	r heel s.X	r heel s.Y	r heel s.Z	l heel s.X	l heel s.Y	l heel s.Z	
     0	0.000	 -1.338609	  0.961956	  0.643820	 -1.143526	  0.941049	  0.798791	 -1.245110	  0.855704	  0.840535	 -1.248542	  0.671288	  0.945111	 -1.256140	  0.459879	  0.814879	 -1.270077	  0.391507	  0.815388	 -1.284946	  0.287681	  0.865109	 -1.298361	  0.051536	  0.811802	 -1.191834	  0.000735	  0.854872	 -1.111753	  0.960379	  0.519005	 -1.230096	  0.884186	  0.465725	 -1.232512	  0.665367	  0.364494	 -1.249025	  0.452231	  0.489405	 -1.254495	  0.394030	  0.492052	 -1.271543	  0.279946	  0.445632	 -1.305950	  0.043970	  0.511199	 -1.192921	  0.004368	  0.481780	 -1.362091	 -0.004872	  0.753767	 -1.372653	 -0.004735	  0.563762	 -1.235016	  1.450661	  0.822917	 -1.299895	  1.466700	  0.644620	 -1.215194	  1.450410	  0.480892	   -1.215148	    1.450413	    0.480925	 -1.112340	  0.960574	  0.518831	  -1.230094	   0.884219	   0.465767	  -1.232512	   0.665379	   0.364527	   -1.249046	    0.452252	    0.489443	   -1.254479	    0.394034	    0.492080	  -1.271548	   0.279970	   0.445630	 -1.305940	  0.043975	  0.511198	 -1.192950	  0.004395	  0.481770	 -1.299872	  1.466717	  0.644624	 -1.338606	  0.961975	  0.643840	   -1.235022	    1.450668	    0.822925	 -1.143689	  0.941063	  0.798881	  -1.245145	   0.855730	   0.840561	  -1.248729	   0.671320	   0.945050	   -1.256133	    0.459874	    0.814899	   -1.270102	    0.391520	    0.815397	  -1.284963	   0.287699	   0.865112	 -1.298370	  0.051554	  0.811792	 -1.191818	  0.000739	  0.854901	 -1.225085	  1.450541	  0.651925	 -1.128014	  0.950818	  0.658856	  -1.143689	   0.941063	   0.798881	  -1.112340	   0.960574	   0.518831	 -1.292894	  0.051572	  0.767127	 -1.186342	  0.000758	  0.810236	 -1.245798	  0.029112	  0.786181	 -1.256760	  0.463449	  0.760019	 -1.271394	  0.296639	  0.762898	 -1.128014	  0.950818	  0.658856	 -1.220981	  0.841411	  0.743010	 -1.237260	  0.669439	  0.750749	 -1.206278	  0.855395	  0.547216	 -1.252395	  0.455403	  0.544250	 -1.227261	  0.673399	  0.545866	 -1.305335	  0.046340	  0.556132	 -1.273836	  0.289733	  0.549062	 -1.192345	  0.006760	  0.526704	 -1.255394	  0.028846	  0.543124	 -1.362091	 -0.004862	  0.753765	 -1.372677	 -0.004734	  0.563755	
     1	0.010	 -1.338608	  0.961978	  0.643836	 -1.143875	  0.941086	  0.798945	 -1.245194	  0.855774	  0.840546	 -1.248763	  0.671309	  0.945051	 -1.256102	  0.459863	  0.814895	 -1.270169	  0.391539	  0.815396	 -1.284984	  0.287714	  0.865108	 -1.298361	  0.051555	  0.811794	 -1.191775	  0.000734	  0.854976	 -1.112512	  0.960617	  0.518779	 -1.230116	  0.884245	  0.465774	 -1.232538	  0.665382	  0.364541	 -1.249104	  0.452280	  0.489461	 -1.254471	  0.394027	  0.492099	 -1.271551	  0.279967	  0.445626	 -1.305982	  0.043997	  0.511211	 -1.192969	  0.004403	  0.481760	 -1.362073	 -0.004866	  0.753781	 -1.372694	 -0.004755	  0.563752	 -1.235048	  1.450663	  0.822922	 -1.299880	  1.466719	  0.644622	 -1.215119	  1.450408	  0.480952	   -1.215097	    1.450414	    0.480960	 -1.112861	  0.960747	  0.518685	  -1.230089	   0.884254	   0.465812	  -1.232520	   0.665395	   0.364560	   -1.249075	    0.452277	    0.489484	   -1.254460	    0.394039	    0.492109	  -1.271547	   0.279990	   0.445628	 -1.305946	  0.043991	  0.511201	 -1.192977	  0.004422	  0.481755	 -1.299849	  1.466734	  0.644627	 -1.338600	  0.961996	  0.643861	   -1.235026	    1.450674	    0.822934	 -1.143853	  0.941078	  0.798973	  -1.245183	   0.855759	   0.840587	  -1.248891	   0.671345	   0.945009	   -1.256124	    0.459869	    0.814919	   -1.270122	    0.391532	    0.815404	  -1.284979	   0.287716	   0.865115	 -1.298380	  0.051571	  0.811782	 -1.191792	  0.000742	  0.854938	 -1.225061	  1.450544	  0.651947	 -1.128357	  0.950913	  0.658829	  -1.143853	   0.941078	   0.798973	  -1.112861	   0.960747	   0.518685	 -1.292904	  0.051592	  0.767116	 -1.186317	  0.000763	  0.810272	 -1.245793	  0.029125	  0.786191	 -1.256683	  0.463443	  0.760038	 -1.271353	  0.296643	  0.762905	 -1.128357	  0.950913	  0.658829	 -1.221284	  0.841444	  0.742946	 -1.237391	  0.669453	  0.750723	 -1.206603	  0.855513	  0.547156	 -1.252426	  0.455428	  0.544291	 -1.227453	  0.673474	  0.545853	 -1.305331	  0.046351	  0.556135	 -1.273853	  0.289752	  0.549088	 -1.192363	  0.006782	  0.526689	 -1.255399	  0.028862	  0.543120	 -1.362087	 -0.004854	  0.753765	 -1.372699	 -0.004736	  0.563748	
     2	0.020	 -1.338607	  0.962002	  0.643869	 -1.143942	  0.941088	  0.799026	 -1.245206	  0.855770	  0.840595	 -1.249167	  0.671392	  0.944834	 -1.256126	  0.459862	  0.814926	 -1.270212	  0.391557	  0.815445	 -1.284995	  0.287728	  0.865123	 -1.298389	  0.051587	  0.811777	 -1.191833	  0.000760	  0.854939	 -1.113945	  0.961101	  0.518285	 -1.230122	  0.884278	  0.465827	 -1.232496	  0.665394	  0.364573	 -1.249043	  0.452276	  0.489476	 -1.254476	  0.394043	  0.492147	 -1.271585	  0.280021	  0.445623	 -1.305870	  0.043946	  0.511173	 -1.193022	  0.004448	  0.481759	 -1.362112	 -0.004831	  0.753754	 -1.372735	 -0.004717	  0.563748	 -1.235047	  1.450684	  0.822932	 -1.299831	  1.466738	  0.644631	 -1.215062	  1.450420	  0.480973	   -1.215058	    1.450417	    0.480981	 -1.113324	  0.960909	  0.518552	  -1.230067	   0.884274	   0.465853	  -1.232513	   0.665413	   0.364585	   -1.249066	    0.452286	    0.489513	   -1.254447	    0.394050	    0.492129	  -1.271545	   0.280014	   0.445631	 -1.305918	  0.043992	  0.511203	 -1.192991	  0.004443	  0.481747	 -1.299819	  1.466751	  0.644633	 -1.338593	  0.962016	  0.643886	   -1.235010	    1.450684	    0.822946	 -1.143886	  0.941079	  0.799022	  -1.245188	   0.855759	   0.840625	  -1.249023	   0.671376	   0.944973	   -1.256137	    0.459871	    0.814943	   -1.270105	    0.391534	    0.815420	  -1.284981	   0.287723	   0.865122	 -1.298397	  0.051587	  0.811770	 -1.191794	  0.000750	  0.854928	 -1.225034	  1.450551	  0.651963	 -1.128605	  0.950994	  0.658787	  -1.143887	   0.941079	   0.799022	  -1.113324	   0.960909	   0.518552	 -1.292913	  0.051610	  0.767105	 -1.186310	  0.000773	  0.810263	 -1.245795	  0.029140	  0.786181	 -1.256638	  0.463446	  0.760061	 -1.271329	  0.296652	  0.762914	 -1.128605	  0.950994	  0.658787	 -1.221486	  0.841464	  0.742875	 -1.237480	  0.669466	  0.750695	 -1.206850	  0.855623	  0.547089	 -1.252413	  0.455435	  0.544321	 -1.227581	  0.673537	  0.545829	 -1.305288	  0.046348	  0.556136	 -1.273827	  0.289754	  0.549106	 -1.192361	  0.006799	  0.526681	 -1.255374	  0.028867	  0.543117	 -1.362095	 -0.004843	  0.753755	 -1.372709	 -0.004722	  0.563743	
     3	0.030	 -1.338593	  0.962039	  0.643906	 -1.144031	  0.941074	  0.799100	 -1.245193	  0.855756	  0.840663	 -1.249221	  0.671431	  0.944917	 -1.256140	  0.459875	  0.814965	 -1.270059	  0.391528	  0.815399	 -1.284992	  0.287742	  0.865119	 -1.298388	  0.051603	  0.811758	 -1.191790	  0.000748	  0.854908	 -1.113664	  0.961033	  0.518484	 -1.230051	  0.884279	  0.465883	 -1.232488	  0.665403	  0.364612	 -1.249089	  0.452303	  0.489556	 -1.254440	  0.394057	  0.492119	 -1.271550	  0.280038	  0.445631	 -1.305881	  0.043983	  0.511195	 -1.193002	  0.004458	  0.481762	 -1.362102	 -0.004836	  0.753748	 -1.372736	 -0.004713	  0.563733	 -1.235013	  1.450704	  0.822952	 -1.299797	  1.466766	  0.644633	 -1.215055	  1.450427	  0.480995	   -1.215021	    1.450418	    0.481006	 -1.113454	  0.960959	  0.518548	  -1.230028	   0.884288	   0.465893	  -1.232516	   0.665434	   0.364612	   -1.249075	    0.452300	    0.489552	   -1.254427	    0.394062	    0.492140	  -1.271531	   0.280031	   0.445638	 -1.305889	  0.044002	  0.511244	 -1.192989	  0.004454	  0.481740	 -1.299794	  1.466769	  0.644640	 -1.338583	  0.962037	  0.643913	   -1.234988	    1.450693	    0.822961	 -1.143907	  0.941079	  0.799064	  -1.245185	   0.855758	   0.840663	  -1.249051	   0.671391	   0.945011	   -1.256147	    0.459876	    0.814967	   -1.270060	    0.391530	    0.815426	  -1.284982	   0.287728	   0.865126	 -1.298409	  0.051598	  0.811759	 -1.191768	  0.000752	  0.854926	 -1.225004	  1.450556	  0.651983	 -1.128680	  0.951019	  0.658806	  -1.143907	   0.941079	   0.799064	  -1.113453	   0.960959	   0.518548	 -1.292901	  0.051620	  0.767097	 -1.186260	  0.000775	  0.810264	 -1.245765	  0.029147	  0.786177	 -1.256635	  0.463452	  0.760086	 -1.271323	  0.296660	  0.762925	 -1.128680	  0.951019	  0.658806	 -1.221560	  0.841477	  0.742878	 -1.237519	  0.669475	  0.750708	 -1.206924	  0.855664	  0.547094	 -1.252412	  0.455449	  0.544360	 -1.227621	  0.673566	  0.545850	 -1.305251	  0.046360	  0.556177	 -1.273812	  0.289768	  0.549146	 -1.192351	  0.006812	  0.526674	 -1.255349	  0.028880	  0.543137	 -1.362089	 -0.004840	  0.753750	 -1.372708	 -0.004712	  0.563736	
     4	0.040	 -1.338558	  0.962056	  0.643936	 -1.143939	  0.941083	  0.799112	 -1.245200	  0.855765	  0.840703	 -1.249089	  0.671405	  0.945057	 -1.256152	  0.459881	  0.815003	 -1.269958	  0.391517	  0.815383	 -1.284980	  0.287736	  0.865127	 -1.298446	  0.051616	  0.811756	 -1.191755	  0.000751	  0.854909	 -1.112992	  0.960821	  0.518772	 -1.229987	  0.884312	  0.465950	 -1.232514	  0.665449	  0.364639	 -1.249053	  0.452286	  0.489602	 -1.254376	  0.394059	  0.492151	 -1.271490	  0.280036	  0.445636	 -1.305953	  0.044036	  0.511212	 -1.192990	  0.004479	  0.481709	 -1.362085	 -0.004841	  0.753739	 -1.372690	 -0.004730	  0.563736	 -1.234952	  1.450687	  0.822976	 -1.299771	  1.466797	  0.644638	 -1.215012	  1.450417	  0.481015	   -1.214969	    1.450418	    0.481038	 -1.113652	  0.961028	  0.518515	  -1.229987	   0.884306	   0.465935	  -1.232521	   0.665462	   0.364642	   -1.249077	    0.452315	    0.489589	   -1.254408	    0.394077	    0.492159	  -1.271518	   0.280051	   0.445648	 -1.305831	  0.044001	  0.511306	 -1.192989	  0.004464	  0.481733	 -1.299765	  1.466788	  0.644652	 -1.338571	  0.962059	  0.643944	   -1.234962	    1.450702	    0.822980	 -1.143908	  0.941084	  0.799103	  -1.245180	   0.855758	   0.840702	  -1.249058	   0.671402	   0.945056	   -1.256154	    0.459879	    0.814993	   -1.270025	    0.391530	    0.815443	  -1.284981	   0.287731	   0.865134	 -1.298423	  0.051609	  0.811750	 -1.191737	  0.000758	  0.854929	 -1.224966	  1.450560	  0.652009	 -1.128780	  0.951056	  0.658809	  -1.143908	   0.941084	   0.799103	  -1.113652	   0.961028	   0.518515	 -1.292898	  0.051633	  0.767091	 -1.186212	  0.000782	  0.810269	 -1.245743	  0.029156	  0.786176	 -1.256638	  0.463456	  0.760111	 -1.271324	  0.296668	  0.762938	 -1.128780	  0.951056	  0.658809	 -1.221647	  0.841494	  0.742870	 -1.237568	  0.669487	  0.750715	 -1.207028	  0.855716	  0.547087	 -1.252402	  0.455463	  0.544398	 -1.227673	  0.673601	  0.545863	 -1.305176	  0.046363	  0.556240	 -1.273776	  0.289778	  0.549194	 -1.192334	  0.006826	  0.526666	 -1.255300	  0.028887	  0.543168	 -1.362083	 -0.004835	  0.753746	 -1.372706	 -0.004698	  0.563729	
     5	0.050	 -1.338555	  0.962084	  0.643975	 -1.143850	  0.941076	  0.799126	 -1.245207	  0.855769	  0.840765	 -1.249208	  0.671405	  0.945021	 -1.256199	  0.459884	  0.815009	 -1.269932	  0.391490	  0.815456	 -1.284955	  0.287714	  0.865148	 -1.298475	  0.051638	  0.811717	 -1.191738	  0.000762	  0.854922	 -1.114115	  0.961220	  0.518411	 -1.229948	  0.884346	  0.466014	 -1.232570	  0.665530	  0.364655	 -1.249092	  0.452336	  0.489629	 -1.254369	  0.394100	  0.492174	 -1.271479	  0.280056	  0.445640	 -1.306016	  0.044116	  0.511206	 -1.193012	  0.004517	  0.481660	 -1.362089	 -0.004832	  0.753737	 -1.372694	 -0.004701	  0.563723	 -1.234912	  1.450695	  0.823001	 -1.299718	  1.466807	  0.644651	 -1.214911	  1.450419	  0.481048	   -1.214904	    1.450419	    0.481080	 -1.113943	  0.961126	  0.518455	  -1.229942	   0.884329	   0.465984	  -1.232520	   0.665493	   0.364679	   -1.249078	    0.452335	    0.489632	   -1.254387	    0.394096	    0.492183	  -1.271505	   0.280076	   0.445663	 -1.305757	  0.043996	  0.511374	 -1.192988	  0.004474	  0.481729	 -1.299730	  1.466809	  0.644670	 -1.338558	  0.962085	  0.643982	   -1.234934	    1.450716	    0.823003	 -1.143905	  0.941090	  0.799149	  -1.245170	   0.855757	   0.840748	  -1.249063	   0.671416	   0.945111	   -1.256156	    0.459882	    0.815023	   -1.269989	    0.391532	    0.815470	  -1.284978	   0.287734	   0.865144	 -1.298432	  0.051620	  0.811742	 -1.191695	  0.000767	  0.854935	 -1.224919	  1.450567	  0.652042	 -1.128924	  0.951108	  0.658802	  -1.143905	   0.941090	   0.799149	  -1.113943	   0.961126	   0.518455	 -1.292890	  0.051646	  0.767085	 -1.186153	  0.000793	  0.810277	 -1.245713	  0.029169	  0.786176	 -1.256635	  0.463461	  0.760142	 -1.271319	  0.296676	  0.762954	 -1.128924	  0.951108	  0.658802	 -1.221767	  0.841516	  0.742850	 -1.237632	  0.669501	  0.750718	 -1.207179	  0.855787	  0.547068	 -1.252392	  0.455482	  0.544442	 -1.227751	  0.673648	  0.545873	 -1.305079	  0.046359	  0.556307	 -1.273730	  0.289787	  0.549247	 -1.192309	  0.006837	  0.526662	 -1.255235	  0.028890	  0.543204	 -1.362079	 -0.004827	  0.753742	 -1.372706	 -0.004676	  0.563721	
     6	0.060	 -1.338559	  0.962113	  0.644016	 -1.143904	  0.941074	  0.799197	 -1.245165	  0.855756	  0.840797	 -1.248989	  0.671415	  0.945224	 -1.256183	  0.459890	  0.815056	 -1.270048	  0.391568	  0.815537	 -1.284983	  0.287739	  0.865148	 -1.298438	  0.051616	  0.811714	 -1.191674	  0.000768	  0.854950	 -1.114373	  0.961275	  0.518325	 -1.229871	  0.884337	  0.466020	 -1.232539	  0.665519	  0.364715	 -1.249119	  0.452376	  0.489668	 -1.254372	  0.394106	  0.492227	 -1.271493	  0.280096	  0.445680	 -1.305785	  0.044062	  0.511414	 -1.192956	  0.004467	  0.481737	 -1.362067	 -0.004813	  0.753739	 -1.372711	 -0.004636	  0.563707	 -1.234908	  1.450732	  0.823015	 -1.299701	  1.466830	  0.644676	 -1.214824	  1.450415	  0.481127	   -1.214834	    1.450417	    0.481127	 -1.114160	  0.961193	  0.518421	  -1.229897	   0.884349	   0.466030	  -1.232515	   0.665522	   0.364718	   -1.249071	    0.452353	    0.489674	   -1.254367	    0.394116	    0.492208	  -1.271491	   0.280101	   0.445684	 -1.305667	  0.043981	  0.511443	 -1.192981	  0.004475	  0.481733	 -1.299695	  1.466829	  0.644695	 -1.338546	  0.962110	  0.644025	   -1.234903	    1.450732	    0.823031	 -1.143888	  0.941098	  0.799192	  -1.245148	   0.855751	   0.840793	  -1.249033	   0.671427	   0.945183	   -1.256150	    0.459884	    0.815055	   -1.269955	    0.391540	    0.815499	  -1.284972	   0.287737	   0.865156	 -1.298431	  0.051626	  0.811742	 -1.191640	  0.000776	  0.854940	 -1.224869	  1.450574	  0.652079	 -1.129024	  0.951146	  0.658806	  -1.143888	   0.941098	   0.799192	  -1.114161	   0.961193	   0.518421	 -1.292872	  0.051654	  0.767087	 -1.186081	  0.000804	  0.810285	 -1.245671	  0.029178	  0.786180	 -1.256637	  0.463466	  0.760174	 -1.271312	  0.296682	  0.762973	 -1.129024	  0.951146	  0.658806	 -1.221851	  0.841537	  0.742850	 -1.237679	  0.669514	  0.750732	 -1.207291	  0.855838	  0.547069	 -1.252375	  0.455499	  0.544485	 -1.227804	  0.673684	  0.545893	 -1.304963	  0.046347	  0.556375	 -1.273673	  0.289792	  0.549300	 -1.192276	  0.006841	  0.526665	 -1.255155	  0.028885	  0.543243	 -1.362075	 -0.004815	  0.753738	 -1.372706	 -0.004649	  0.563712	
     7	0.070	 -1.338537	  0.962145	  0.644066	 -1.143921	  0.941116	  0.799252	 -1.245096	  0.855736	  0.840821	 -1.248939	  0.671447	  0.945315	 -1.256168	  0.459896	  0.815086	 -1.269912	  0.391536	  0.815540	 -1.285019	  0.287770	  0.865162	 -1.298440	  0.051633	  0.811736	 -1.191545	  0.000785	  0.854958	 -1.114471	  0.961276	  0.518339	 -1.229820	  0.884345	  0.466054	 -1.232516	  0.665552	  0.364769	 -1.249087	  0.452380	  0.489731	 -1.254379	  0.394147	  0.492221	 -1.271518	  0.280154	  0.445709	 -1.305170	  0.043815	  0.511903	 -1.192975	  0.004456	  0.481765	 -1.362028	 -0.004831	  0.753729	 -1.372700	 -0.004616	  0.563704	 -1.234888	  1.450755	  0.823052	 -1.299673	  1.466852	  0.644712	 -1.214761	  1.450414	  0.481183	   -1.214762	    1.450412	    0.481177	 -1.114315	  0.961233	  0.518410	  -1.229858	   0.884370	   0.466076	  -1.232509	   0.665553	   0.364757	   -1.249056	    0.452368	    0.489714	   -1.254347	    0.394136	    0.492234	  -1.271469	   0.280122	   0.445706	 -1.305581	  0.043964	  0.511495	 -1.192976	  0.004475	  0.481734	 -1.299658	  1.466848	  0.644728	 -1.338534	  0.962134	  0.644072	   -1.234870	    1.450747	    0.823064	 -1.143860	  0.941111	  0.799231	  -1.245117	   0.855742	   0.840838	  -1.248997	   0.671435	   0.945249	   -1.256134	    0.459885	    0.815087	   -1.269914	    0.391548	    0.815526	  -1.284961	   0.287738	   0.865169	 -1.298421	  0.051631	  0.811748	 -1.191571	  0.000784	  0.854948	 -1.224816	  1.450579	  0.652120	 -1.129087	  0.951172	  0.658821	  -1.143860	   0.941111	   0.799231	  -1.114315	   0.961233	   0.518410	 -1.292844	  0.051659	  0.767095	 -1.185995	  0.000813	  0.810295	 -1.245617	  0.029185	  0.786189	 -1.256626	  0.463469	  0.760206	 -1.271295	  0.296686	  0.762996	 -1.129087	  0.951172	  0.658821	 -1.221904	  0.841559	  0.742870	 -1.237703	  0.669528	  0.750758	 -1.207368	  0.855872	  0.547087	 -1.252349	  0.455513	  0.544526	 -1.227834	  0.673709	  0.545922	 -1.304858	  0.046330	  0.556427	 -1.273615	  0.289794	  0.549346	 -1.192254	  0.006841	  0.526666	 -1.255087	  0.028876	  0.543273	 -1.362070	 -0.004803	  0.753736	 -1.372704	 -0.004623	  0.563704	
     8	0.080	 -1.338500	  0.962156	  0.644107	 -1.143816	  0.941135	  0.799262	 -1.245106	  0.855735	  0.840881	 -1.248884	  0.671455	  0.945356	 -1.256112	  0.459879	  0.815116	 -1.269849	  0.391554	  0.815536	 -1.284953	  0.287733	  0.865186	 -1.298447	  0.051663	  0.811745	 -1.191535	  0.000799	  0.854947	 -1.114551	  0.961301	  0.518359	 -1.229795	  0.884388	  0.466112	 -1.232486	  0.665587	  0.364807	 -1.249037	  0.452390	  0.489750	 -1.254341	  0.394176	  0.492243	 -1.271472	  0.280170	  0.445729	 -1.305213	  0.043832	  0.511808	 -1.192972	  0.004477	  0.481768	 -1.362066	 -0.004805	  0.753743	 -1.372690	 -0.004600	  0.563693	 -1.234838	  1.450775	  0.823091	 -1.299626	  1.466872	  0.644759	 -1.214689	  1.450423	  0.481243	   -1.214694	    1.450405	    0.481229	 -1.114456	  0.961265	  0.518403	  -1.229829	   0.884393	   0.466125	  -1.232500	   0.665583	   0.364794	   -1.249029	    0.452378	    0.489750	   -1.254323	    0.394153	    0.492265	  -1.271436	   0.280137	   0.445729	 -1.305543	  0.043959	  0.511492	 -1.192973	  0.004477	  0.481731	 -1.299619	  1.466866	  0.644768	 -1.338523	  0.962156	  0.644123	   -1.234835	    1.450759	    0.823100	 -1.143818	  0.941124	  0.799269	  -1.245084	   0.855733	   0.840887	  -1.248962	   0.671435	   0.945303	   -1.256111	    0.459884	    0.815121	   -1.269874	    0.391559	    0.815553	  -1.284941	   0.287734	   0.865185	 -1.298405	  0.051632	  0.811758	 -1.191500	  0.000792	  0.854955	 -1.224764	  1.450582	  0.652165	 -1.129137	  0.951195	  0.658836	  -1.143818	   0.941124	   0.799269	  -1.114456	   0.961265	   0.518403	 -1.292819	  0.051662	  0.767106	 -1.185914	  0.000821	  0.810304	 -1.245567	  0.029190	  0.786199	 -1.256606	  0.463470	  0.760240	 -1.271272	  0.296688	  0.763021	 -1.129137	  0.951195	  0.658836	 -1.221943	  0.841579	  0.742895	 -1.237714	  0.669540	  0.750787	 -1.207435	  0.855899	  0.547111	 -1.252312	  0.455521	  0.544562	 -1.227854	  0.673727	  0.545951	 -1.304824	  0.046321	  0.556424	 -1.273579	  0.289795	  0.549366	 -1.192254	  0.006839	  0.526663	 -1.255068	  0.028870	  0.543270	 -1.362069	 -0.004785	  0.753736	 -1.372704	 -0.004598	  0.563696	
     9	0.090	 -1.338503	  0.962178	  0.644163	 -1.143756	  0.941136	  0.799292	 -1.245061	  0.855726	  0.840922	 -1.248878	  0.671461	  0.945420	 -1.256054	  0.459879	  0.815161	 -1.269850	  0.391561	  0.815611	 -1.284905	  0.287721	  0.865197	 -1.298372	  0.051632	  0.811781	 -1.191453	  0.000829	  0.854981	 -1.114622	  0.961312	  0.518397	 -1.229821	  0.884444	  0.466178	 -1.232423	  0.665584	  0.364830	 -1.249005	  0.452389	  0.489804	 -1.254270	  0.394162	  0.492295	 -1.271437	  0.280170	  0.445772	 -1.305588	  0.043965	  0.511353	 -1.192958	  0.004477	  0.481761	 -1.362108	 -0.004747	  0.753740	 -1.372723	 -0.004559	  0.563687	 -1.234821	  1.450789	  0.823137	 -1.299579	  1.466881	  0.644803	 -1.214634	  1.450427	  0.481274	   -1.214633	    1.450393	    0.481281	 -1.114567	  0.961281	  0.518408	  -1.229809	   0.884417	   0.466179	  -1.232487	   0.665608	   0.364829	   -1.248992	    0.452382	    0.489784	   -1.254294	    0.394165	    0.492296	  -1.271393	   0.280143	   0.445753	 -1.305550	  0.043967	  0.511441	 -1.192968	  0.004476	  0.481725	 -1.299576	  1.466883	  0.644815	 -1.338514	  0.962177	  0.644180	   -1.234801	    1.450769	    0.823140	 -1.143773	  0.941135	  0.799309	  -1.245047	   0.855721	   0.840941	  -1.248928	   0.671429	   0.945349	   -1.256085	    0.459883	    0.815155	   -1.269834	    0.391570	    0.815582	  -1.284914	   0.287728	   0.865202	 -1.298381	  0.051629	  0.811769	 -1.191424	  0.000797	  0.854962	 -1.224717	  1.450581	  0.652210	 -1.129170	  0.951208	  0.658858	  -1.143773	   0.941135	   0.799309	  -1.114567	   0.961281	   0.518408	 -1.292787	  0.051660	  0.767118	 -1.185830	  0.000828	  0.810311	 -1.245512	  0.029192	  0.786209	 -1.256580	  0.463472	  0.760274	 -1.271244	  0.296688	  0.763046	 -1.129170	  0.951208	  0.658858	 -1.221968	  0.841597	  0.742932	 -1.237717	  0.669550	  0.750823	 -1.207490	  0.855916	  0.547145	 -1.252268	  0.455522	  0.544596	 -1.227864	  0.673737	  0.545986	 -1.304855	  0.046322	  0.556374	 -1.273566	  0.289796	  0.549366	 -1.192273	  0.006831	  0.526658	 -1.255094	  0.028867	  0.543239	 -1.362068	 -0.004766	  0.753736	 -1.372706	 -0.004573	  0.563690	
