BTS ASCII format

Type:         	3D vector tracks
Measure unit: 	%

Tracks:       	8
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	 vRLASIS.X	 vRLASIS.Y	 vRLASIS.Z	 vLRASIS.X	 vLRASIS.Y	 vLRASIS.Z	    vRFz.X	    vRFz.Y	    vRFz.Z	    vLFz.X	    vLFz.Y	    vLFz.Z	    vRFx.X	    vRFx.Y	    vRFx.Z	    vRFy.X	    vRFy.Y	    vRFy.Z	    vLFx.X	    vLFx.Y	    vLFx.Z	    vLFy.X	    vLFy.Y	    vLFy.Z	
     0	0.000	 11.097844	  6.906960	-99.141983	-11.097844	 -6.906960	 99.141983	 12.169144	  0.040432	-99.256790	 -1.343356	 -5.255714	-99.852760	-95.161972	 -3.042742	-30.576792	 -3.087352	 99.951759	 -0.337803	-97.763443	 -6.231112	 20.086864	 -7.404293	 99.592827	 -5.142420	
     1	0.010	 10.963584	  6.957799	-99.153358	-10.963584	 -6.957799	 99.153358	 12.168621	  0.046053	-99.256851	 -1.365344	 -5.245341	-99.853004	-95.157341	 -3.041065	-30.591370	 -3.087508	 99.951775	 -0.332145	-97.761894	 -6.244370	 20.090311	 -7.415587	 99.592621	 -5.130265	
     2	0.020	 10.806042	  7.011356	-99.166885	-10.806042	 -7.011356	 99.166885	 12.185841	  0.051633	-99.254730	 -1.398986	 -5.234932	-99.853088	-95.157967	 -3.040331	-30.589489	 -3.088323	 99.951759	 -0.327169	-97.761864	 -6.244763	 20.090311	 -7.413409	 99.593437	 -5.117455	
     3	0.030	 10.766013	  7.028111	-99.170044	-10.766013	 -7.028111	 99.170044	 12.239880	  0.049927	-99.248085	 -1.417266	 -5.240823	-99.852516	-95.159355	 -3.038758	-30.585340	 -3.085648	 99.951843	 -0.330260	-97.761902	 -6.246355	 20.089632	 -7.415888	 99.593025	 -5.121945	
     4	0.040	 10.694118	  7.049544	-99.176308	-10.694118	 -7.049544	 99.176308	 12.277234	  0.052485	-99.243477	 -1.455679	 -5.247505	-99.851616	-95.159882	 -3.039151	-30.583662	 -3.086467	 99.951813	 -0.328961	-97.762161	 -6.245561	 20.088608	 -7.415786	 99.592834	 -5.125794	
     5	0.050	 10.587417	  7.079747	-99.185600	-10.587417	 -7.079747	 99.185600	 12.314587	  0.057750	-99.238846	 -1.507600	 -5.252260	-99.850594	-95.160713	 -3.039488	-30.581036	 -3.088064	 99.951782	 -0.325034	-97.763641	 -6.239483	 20.083326	 -7.409449	 99.593254	 -5.126852	
     6	0.060	 10.502252	  7.099187	-99.193268	-10.502252	 -7.099187	 99.193268	 12.351938	  0.062204	-99.234192	 -1.564820	 -5.256034	-99.849518	-95.162537	 -3.038229	-30.575497	 -3.087776	 99.951797	 -0.321690	-97.766441	 -6.225757	 20.073948	 -7.394803	 99.594345	 -5.126712	
     7	0.070	 10.436649	  7.108178	-99.199547	-10.436649	 -7.108178	 99.199547	 12.392728	  0.063396	-99.229111	 -1.605087	 -5.257305	-99.848808	-95.164864	 -3.034872	-30.568573	 -3.084313	 99.951904	 -0.321342	-97.768707	 -6.211469	 20.067320	 -7.379525	 99.595551	 -5.125343	
     8	0.080	 10.371162	  7.114226	-99.205986	-10.371162	 -7.114226	 99.205986	 12.414720	  0.065888	-99.226364	 -1.596609	 -5.248675	-99.849396	-95.167603	 -3.029080	-30.560642	 -3.078972	 99.952080	 -0.318856	-97.770058	 -6.196628	 20.065340	 -7.362731	 99.597183	 -5.117686	
     9	0.090	 10.315182	  7.115558	-99.211723	-10.315182	 -7.115558	 99.211723	 12.430874	  0.068794	-99.224335	 -1.543893	 -5.232735	-99.851067	-95.171013	 -3.020998	-30.550798	 -3.071491	 99.952324	 -0.315500	-97.770897	 -6.179418	 20.066545	 -7.342933	 99.599251	 -5.106002	
    10	0.100	 10.279310	  7.108364	-99.215958	-10.279310	 -7.108364	 99.215958	 12.450484	  0.069870	-99.221870	 -1.465480	 -5.217758	-99.853027	-95.175148	 -3.011770	-30.538830	 -3.062240	 99.952606	 -0.313869	-97.770882	 -6.163290	 20.071585	 -7.325050	 99.601021	 -5.097085	
    11	0.110	 10.245814	  7.098064	-99.220161	-10.245814	 -7.098064	 99.220161	 12.468236	  0.072345	-99.219643	 -1.375940	 -5.204165	-99.855011	-95.179146	 -3.003829	-30.527153	 -3.054741	 99.952850	 -0.310988	-97.770630	 -6.148899	 20.077206	 -7.309399	 99.602524	 -5.090287	
    12	0.120	 10.212816	  7.086539	-99.224388	-10.212816	 -7.086539	 99.224388	 12.481211	  0.078339	-99.218010	 -1.296203	 -5.193785	-99.856621	-95.183289	 -2.997014	-30.514898	 -3.049515	 99.953026	 -0.304697	-97.771858	 -6.130499	 20.076859	 -7.289775	 99.604172	 -5.086029	
    13	0.130	 10.180943	  7.073995	-99.228561	-10.180943	 -7.073995	 99.228561	 12.495522	  0.084771	-99.216202	 -1.259380	 -5.190150	-99.857277	-95.187477	 -2.990355	-30.502478	 -3.044566	 99.953201	 -0.298039	-97.774391	 -6.108205	 20.071312	 -7.266573	 99.605904	 -5.085440	
    14	0.140	 10.148371	  7.062452	-99.232712	-10.148371	 -7.062452	 99.232712	 12.507696	  0.091460	-99.214661	 -1.249314	 -5.189828	-99.857422	-95.191032	 -2.984483	-30.491976	 -3.040524	 99.953339	 -0.291169	-97.777328	 -6.085968	 20.063753	 -7.243569	 99.607536	 -5.086217	
    15	0.150	 10.115540	  7.053341	-99.236717	-10.115540	 -7.053341	 99.236717	 12.510614	  0.099631	-99.214287	 -1.239247	 -5.190678	-99.857506	-95.193993	 -2.979734	-30.483187	 -3.038177	 99.953438	 -0.282732	-97.780792	 -6.061978	 20.054138	 -7.218883	 99.609222	 -5.088185	
    16	0.160	 10.080853	  7.048345	-99.240601	-10.080853	 -7.048345	 99.240601	 12.508771	  0.107487	-99.214516	 -1.225206	 -5.192538	-99.857582	-95.196846	 -2.976281	-30.474598	 -3.037083	 99.953491	 -0.274622	-97.783615	 -6.038217	 20.047579	 -7.194890	 99.610802	 -5.091428	
    17	0.170	 10.044909	  7.047879	-99.244278	-10.044909	 -7.047879	 99.244278	 12.499757	  0.114582	-99.215637	 -1.198716	 -5.191947	-99.857933	-95.199028	 -2.974761	-30.467960	 -3.037785	 99.953491	 -0.267284	-97.784714	 -6.019436	 20.047848	 -7.176097	 99.612068	 -5.093020	
    18	0.180	 10.010546	  7.050844	-99.247536	-10.010546	 -7.050844	 99.247536	 12.487041	  0.122314	-99.217232	 -1.144674	 -5.186202	-99.858871	-95.200279	 -2.977092	-30.463827	 -3.042624	 99.953369	 -0.259710	-97.784790	 -6.005003	 20.051825	 -7.161325	 99.613220	 -5.091354	
    19	0.190	  9.979400	  7.055998	-99.250313	 -9.979400	 -7.055998	 99.250313	 12.466109	  0.132008	-99.219856	 -1.090103	 -5.182155	-99.859688	-95.201378	 -2.982998	-30.459785	 -3.051757	 99.953110	 -0.250443	-97.784714	 -5.992774	 20.055826	 -7.149137	 99.614098	 -5.091368	
    20	0.200	  9.951211	  7.064005	-99.252579	 -9.951211	 -7.064005	 99.252579	 12.435380	  0.144020	-99.223694	 -1.058578	 -5.180188	-99.860123	-95.201401	 -2.991313	-30.458900	 -3.064157	 99.952759	 -0.238943	-97.783707	 -5.988502	 20.062010	 -7.145264	 99.614357	 -5.091694	
    21	0.210	  9.928943	  7.073321	-99.254135	 -9.928943	 -7.073321	 99.254135	 12.383732	  0.159964	-99.230125	 -1.042154	 -5.177805	-99.860420	-95.199951	 -3.001570	-30.462423	 -3.079972	 99.952309	 -0.223246	-97.782440	 -5.990337	 20.067648	 -7.147261	 99.614273	 -5.090453	
    22	0.220	  9.913854	  7.082963	-99.254959	 -9.913854	 -7.082963	 99.254959	 12.313787	  0.180403	-99.238792	 -1.040034	 -5.176545	-99.860512	-95.197929	 -3.015597	-30.467367	 -3.101182	 99.951698	 -0.203103	-97.781731	 -5.994032	 20.070004	 -7.150948	 99.614075	 -5.089294	
    23	0.230	  9.905580	  7.093732	-99.255020	 -9.905580	 -7.093732	 99.255020	 12.231931	  0.202739	-99.248871	 -1.062817	 -5.176224	-99.860291	-95.195503	 -3.031716	-30.473354	 -3.125225	 99.950989	 -0.180996	-97.780899	 -6.001378	 20.071840	 -7.158144	 99.613663	 -5.087256	
    24	0.240	  9.903624	  7.104915	-99.254410	 -9.903624	 -7.104915	 99.254410	 12.156965	  0.222905	-99.258041	 -1.090632	 -5.170644	-99.860275	-95.192520	 -3.045560	-30.481279	 -3.146263	 99.950363	 -0.160890	-97.779396	 -6.012781	 20.075748	 -7.168473	 99.613312	 -5.079565	
    25	0.250	  9.907228	  7.115310	-99.253311	 -9.907228	 -7.115310	 99.253311	 12.080932	  0.242823	-99.267273	 -1.116593	 -5.155484	-99.860779	-95.190224	 -3.057061	-30.487320	 -3.164861	 99.949806	 -0.140675	-97.777901	 -6.022844	 20.080034	 -7.175574	 99.613663	 -5.062493	
