BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	22
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	
     0	0.000	  0.471711	  0.981647	  0.646490	  0.664339	  0.961243	  0.792242	  0.570810	  0.873192	  0.834199	  0.563460	  0.694083	  0.941005	  0.551597	  0.479785	  0.816514	  0.534867	  0.412581	  0.817394	  0.516453	  0.309791	  0.868175	  0.509164	  0.073226	  0.821123	  0.614055	  0.015323	  0.875098	  0.682808	  0.989289	  0.509243	  0.567933	  0.915659	  0.458395	  0.560183	  0.707445	  0.341372	  0.548345	  0.484364	  0.448714	  0.547296	  0.426342	  0.447237	  0.530838	  0.316037	  0.392974	  0.515117	  0.072543	  0.441235	  0.631306	  0.024988	  0.408654	  0.452525	  0.018093	  0.754391	  0.450914	  0.022512	  0.490291	  0.572819	  1.475014	  0.817506	  0.508542	  1.487076	  0.642071	  0.588268	  1.476618	  0.479183	
     1	0.010	  0.471624	  0.981709	  0.646455	  0.664320	  0.961213	  0.792230	  0.571506	  0.872991	  0.834272	  0.563467	  0.694090	  0.940994	  0.551658	  0.479809	  0.816531	  0.535001	  0.412594	  0.817407	  0.516446	  0.309801	  0.868149	  0.509216	  0.073229	  0.821121	  0.614141	  0.015311	  0.875115	  0.682800	  0.989299	  0.509241	  0.567929	  0.915709	  0.458386	  0.560225	  0.707448	  0.341346	  0.548349	  0.484373	  0.448678	  0.547388	  0.426349	  0.447229	  0.530765	  0.316059	  0.392938	  0.515080	  0.072561	  0.441224	  0.631314	  0.024972	  0.408619	  0.452559	  0.018056	  0.754354	  0.450887	  0.022542	  0.490277	  0.573023	  1.475034	  0.817552	  0.508599	  1.487135	  0.642118	  0.588321	  1.476651	  0.479210	
     2	0.020	  0.471667	  0.981728	  0.646428	  0.664391	  0.961206	  0.792193	  0.571349	  0.873051	  0.834230	  0.563472	  0.694097	  0.940955	  0.551661	  0.479835	  0.816510	  0.535035	  0.412604	  0.817373	  0.516447	  0.309808	  0.868141	  0.509233	  0.073250	  0.821118	  0.614165	  0.015340	  0.875109	  0.682796	  0.989298	  0.509242	  0.567995	  0.915717	  0.458374	  0.560263	  0.707472	  0.341311	  0.548384	  0.484392	  0.448650	  0.547442	  0.426336	  0.447222	  0.530805	  0.316057	  0.392929	  0.515118	  0.072574	  0.441208	  0.631292	  0.024986	  0.408607	  0.452600	  0.018081	  0.754326	  0.450853	  0.022589	  0.490248	  0.573142	  1.475044	  0.817570	  0.508687	  1.487177	  0.642155	  0.588381	  1.476684	  0.479232	
     3	0.030	  0.471689	  0.981760	  0.646377	  0.664505	  0.961214	  0.792170	  0.571957	  0.872843	  0.834289	  0.563460	  0.694133	  0.940905	  0.551638	  0.479858	  0.816489	  0.535054	  0.412617	  0.817345	  0.516498	  0.309818	  0.868132	  0.509332	  0.073264	  0.821096	  0.614180	  0.015338	  0.875107	  0.682806	  0.989281	  0.509225	  0.568036	  0.915733	  0.458344	  0.560287	  0.707509	  0.341269	  0.548441	  0.484399	  0.448626	  0.547399	  0.426346	  0.447218	  0.530843	  0.316055	  0.392894	  0.515108	  0.072585	  0.441187	  0.631292	  0.024997	  0.408605	  0.452559	  0.018122	  0.754319	  0.450794	  0.022672	  0.490219	  0.573226	  1.475026	  0.817587	  0.508782	  1.487199	  0.642160	  0.588381	  1.476719	  0.479257	
     4	0.040	  0.471722	  0.981791	  0.646352	  0.664586	  0.961196	  0.792154	  0.572145	  0.872815	  0.834270	  0.563442	  0.694167	  0.940852	  0.551673	  0.479868	  0.816484	  0.535085	  0.412626	  0.817342	  0.516516	  0.309825	  0.868105	  0.509368	  0.073275	  0.821082	  0.614198	  0.015377	  0.875107	  0.682857	  0.989279	  0.509203	  0.568025	  0.915764	  0.458298	  0.560308	  0.707526	  0.341257	  0.548458	  0.484397	  0.448615	  0.547418	  0.426360	  0.447205	  0.530845	  0.316072	  0.392875	  0.515123	  0.072595	  0.441171	  0.631366	  0.025008	  0.408606	  0.452558	  0.018136	  0.754324	  0.450806	  0.022682	  0.490216	  0.573308	  1.474994	  0.817623	  0.508862	  1.487200	  0.642181	  0.588465	  1.476747	  0.479273	
     5	0.050	  0.471721	  0.981811	  0.646349	  0.664622	  0.961168	  0.792146	  0.572178	  0.872798	  0.834254	  0.563542	  0.694191	  0.940827	  0.551679	  0.479878	  0.816466	  0.535095	  0.412639	  0.817325	  0.516512	  0.309841	  0.868096	  0.509363	  0.073274	  0.821067	  0.614230	  0.015370	  0.875096	  0.682923	  0.989289	  0.509213	  0.568050	  0.915780	  0.458263	  0.560343	  0.707553	  0.341234	  0.548481	  0.484410	  0.448602	  0.547421	  0.426386	  0.447150	  0.530878	  0.316069	  0.392846	  0.515119	  0.072618	  0.441156	  0.631424	  0.025008	  0.408602	  0.452541	  0.018156	  0.754317	  0.450806	  0.022700	  0.490240	  0.573441	  1.474986	  0.817674	  0.508943	  1.487225	  0.642209	  0.588567	  1.476767	  0.479296	
     6	0.060	  0.471653	  0.981852	  0.646323	  0.664663	  0.961156	  0.792106	  0.572206	  0.872808	  0.834215	  0.563601	  0.694206	  0.940818	  0.551683	  0.479889	  0.816438	  0.535121	  0.412636	  0.817314	  0.516498	  0.309854	  0.868097	  0.509391	  0.073298	  0.821071	  0.614253	  0.015362	  0.875094	  0.682984	  0.989330	  0.509192	  0.568137	  0.915781	  0.458242	  0.560350	  0.707574	  0.341217	  0.548497	  0.484436	  0.448561	  0.547464	  0.426390	  0.447128	  0.530915	  0.316071	  0.392815	  0.515105	  0.072638	  0.441153	  0.631481	  0.025020	  0.408618	  0.452532	  0.018195	  0.754305	  0.450901	  0.022683	  0.490221	  0.573528	  1.474983	  0.817701	  0.508994	  1.487262	  0.642237	  0.588622	  1.476806	  0.479307	
     7	0.070	  0.471695	  0.981877	  0.646284	  0.664708	  0.961136	  0.792066	  0.572245	  0.872819	  0.834184	  0.563567	  0.694198	  0.940801	  0.551653	  0.479890	  0.816422	  0.535089	  0.412651	  0.817305	  0.516518	  0.309869	  0.868102	  0.509398	  0.073300	  0.821067	  0.614253	  0.015370	  0.875081	  0.683002	  0.989344	  0.509179	  0.568126	  0.915781	  0.458205	  0.560318	  0.707576	  0.341185	  0.548523	  0.484423	  0.448546	  0.547498	  0.426389	  0.447143	  0.530973	  0.316071	  0.392811	  0.515126	  0.072632	  0.441172	  0.631478	  0.025021	  0.408614	  0.452626	  0.018168	  0.754301	  0.450863	  0.022698	  0.490190	  0.573658	  1.474980	  0.817744	  0.509094	  1.487278	  0.642292	  0.588671	  1.476855	  0.479337	
     8	0.080	  0.471730	  0.981874	  0.646290	  0.664685	  0.961138	  0.792035	  0.571883	  0.872938	  0.834095	  0.563529	  0.694214	  0.940771	  0.551628	  0.479884	  0.816413	  0.535066	  0.412672	  0.817294	  0.516526	  0.309870	  0.868093	  0.509386	  0.073308	  0.821074	  0.614261	  0.015375	  0.875088	  0.682966	  0.989345	  0.509154	  0.568092	  0.915793	  0.458164	  0.560320	  0.707571	  0.341153	  0.548568	  0.484416	  0.448518	  0.547535	  0.426390	  0.447131	  0.530977	  0.316076	  0.392814	  0.515151	  0.072639	  0.441164	  0.631487	  0.025020	  0.408605	  0.452598	  0.018171	  0.754301	  0.450793	  0.022734	  0.490207	  0.573766	  1.474972	  0.817780	  0.509216	  1.487275	  0.642314	  0.588693	  1.476880	  0.479364	
     9	0.090	  0.471748	  0.981874	  0.646258	  0.664693	  0.961137	  0.792022	  0.571402	  0.873101	  0.833998	  0.563497	  0.694234	  0.940746	  0.551671	  0.479882	  0.816409	  0.535038	  0.412665	  0.817263	  0.516533	  0.309876	  0.868085	  0.509431	  0.073296	  0.821073	  0.614266	  0.015378	  0.875097	  0.683026	  0.989348	  0.509143	  0.568064	  0.915798	  0.458147	  0.560356	  0.707556	  0.341140	  0.548657	  0.484420	  0.448506	  0.547587	  0.426381	  0.447124	  0.530969	  0.316073	  0.392796	  0.515161	  0.072636	  0.441152	  0.631419	  0.025020	  0.408599	  0.452555	  0.018187	  0.754293	  0.450778	  0.022759	  0.490206	  0.573868	  1.474969	  0.817811	  0.509279	  1.487294	  0.642344	  0.588756	  1.476891	  0.479391	
