BTS ASCII format

Type:         	Force 3D tracks
Measure unit: 	N

Tracks:       	2
Frequency:    	200 Hz
Frames:       	1001
Start time:   	0.000

 Frame	 Time	    r gr.X	    r gr.Y	    r gr.Z	    l gr.X	    l gr.Y	    l gr.Z	
     0	0.000	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     1	0.005	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     2	0.010	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     3	0.015	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     4	0.020	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     5	0.025	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     6	0.030	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     7	0.035	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     8	0.040	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
     9	0.045	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    10	0.050	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    11	0.055	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    12	0.060	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    13	0.065	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    14	0.070	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    15	0.075	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    16	0.080	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    17	0.085	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    18	0.090	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    19	0.095	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    20	0.100	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    21	0.105	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    22	0.110	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    23	0.115	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    24	0.120	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    25	0.125	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    26	0.130	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    27	0.135	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    28	0.140	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    29	0.145	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    30	0.150	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    31	0.155	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    32	0.160	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    33	0.165	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    34	0.170	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    35	0.175	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    36	0.180	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    37	0.185	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    38	0.190	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    39	0.195	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    40	0.200	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    41	0.205	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    42	0.210	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    43	0.215	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    44	0.220	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    45	0.225	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    46	0.230	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    47	0.235	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    48	0.240	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    49	0.245	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    50	0.250	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    51	0.255	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    52	0.260	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    53	0.265	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    54	0.270	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    55	0.275	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    56	0.280	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    57	0.285	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    58	0.290	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    59	0.295	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    60	0.300	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    61	0.305	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    62	0.310	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    63	0.315	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    64	0.320	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    65	0.325	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    66	0.330	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    67	0.335	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    68	0.340	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    69	0.345	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    70	0.350	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    71	0.355	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    72	0.360	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    73	0.365	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    74	0.370	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    75	0.375	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    76	0.380	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    77	0.385	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    78	0.390	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    79	0.395	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    80	0.400	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    81	0.405	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    82	0.410	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    83	0.415	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
