BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	22
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	
     0	0.000	 -1.338609	  0.961956	  0.643820	 -1.143526	  0.941049	  0.798791	 -1.245110	  0.855704	  0.840535	 -1.248542	  0.671288	  0.945111	 -1.256140	  0.459879	  0.814879	 -1.270077	  0.391507	  0.815388	 -1.284946	  0.287681	  0.865109	 -1.298361	  0.051536	  0.811802	 -1.191834	  0.000735	  0.854872	 -1.111753	  0.960379	  0.519005	 -1.230096	  0.884186	  0.465725	 -1.232512	  0.665367	  0.364494	 -1.249025	  0.452231	  0.489405	 -1.254495	  0.394030	  0.492052	 -1.271543	  0.279946	  0.445632	 -1.305950	  0.043970	  0.511199	 -1.192921	  0.004368	  0.481780	 -1.362091	 -0.004872	  0.753767	 -1.372653	 -0.004735	  0.563762	 -1.235016	  1.450661	  0.822917	 -1.299895	  1.466700	  0.644620	 -1.215194	  1.450410	  0.480892	
     1	0.010	 -1.338608	  0.961978	  0.643836	 -1.143875	  0.941086	  0.798945	 -1.245194	  0.855774	  0.840546	 -1.248763	  0.671309	  0.945051	 -1.256102	  0.459863	  0.814895	 -1.270169	  0.391539	  0.815396	 -1.284984	  0.287714	  0.865108	 -1.298361	  0.051555	  0.811794	 -1.191775	  0.000734	  0.854976	 -1.112512	  0.960617	  0.518779	 -1.230116	  0.884245	  0.465774	 -1.232538	  0.665382	  0.364541	 -1.249104	  0.452280	  0.489461	 -1.254471	  0.394027	  0.492099	 -1.271551	  0.279967	  0.445626	 -1.305982	  0.043997	  0.511211	 -1.192969	  0.004403	  0.481760	 -1.362073	 -0.004866	  0.753781	 -1.372694	 -0.004755	  0.563752	 -1.235048	  1.450663	  0.822922	 -1.299880	  1.466719	  0.644622	 -1.215119	  1.450408	  0.480952	
     2	0.020	 -1.338607	  0.962002	  0.643869	 -1.143942	  0.941088	  0.799026	 -1.245206	  0.855770	  0.840595	 -1.249167	  0.671392	  0.944834	 -1.256126	  0.459862	  0.814926	 -1.270212	  0.391557	  0.815445	 -1.284995	  0.287728	  0.865123	 -1.298389	  0.051587	  0.811777	 -1.191833	  0.000760	  0.854939	 -1.113945	  0.961101	  0.518285	 -1.230122	  0.884278	  0.465827	 -1.232496	  0.665394	  0.364573	 -1.249043	  0.452276	  0.489476	 -1.254476	  0.394043	  0.492147	 -1.271585	  0.280021	  0.445623	 -1.305870	  0.043946	  0.511173	 -1.193022	  0.004448	  0.481759	 -1.362112	 -0.004831	  0.753754	 -1.372735	 -0.004717	  0.563748	 -1.235047	  1.450684	  0.822932	 -1.299831	  1.466738	  0.644631	 -1.215062	  1.450420	  0.480973	
     3	0.030	 -1.338593	  0.962039	  0.643906	 -1.144031	  0.941074	  0.799100	 -1.245193	  0.855756	  0.840663	 -1.249221	  0.671431	  0.944917	 -1.256140	  0.459875	  0.814965	 -1.270059	  0.391528	  0.815399	 -1.284992	  0.287742	  0.865119	 -1.298388	  0.051603	  0.811758	 -1.191790	  0.000748	  0.854908	 -1.113664	  0.961033	  0.518484	 -1.230051	  0.884279	  0.465883	 -1.232488	  0.665403	  0.364612	 -1.249089	  0.452303	  0.489556	 -1.254440	  0.394057	  0.492119	 -1.271550	  0.280038	  0.445631	 -1.305881	  0.043983	  0.511195	 -1.193002	  0.004458	  0.481762	 -1.362102	 -0.004836	  0.753748	 -1.372736	 -0.004713	  0.563733	 -1.235013	  1.450704	  0.822952	 -1.299797	  1.466766	  0.644633	 -1.215055	  1.450427	  0.480995	
     4	0.040	 -1.338558	  0.962056	  0.643936	 -1.143939	  0.941083	  0.799112	 -1.245200	  0.855765	  0.840703	 -1.249089	  0.671405	  0.945057	 -1.256152	  0.459881	  0.815003	 -1.269958	  0.391517	  0.815383	 -1.284980	  0.287736	  0.865127	 -1.298446	  0.051616	  0.811756	 -1.191755	  0.000751	  0.854909	 -1.112992	  0.960821	  0.518772	 -1.229987	  0.884312	  0.465950	 -1.232514	  0.665449	  0.364639	 -1.249053	  0.452286	  0.489602	 -1.254376	  0.394059	  0.492151	 -1.271490	  0.280036	  0.445636	 -1.305953	  0.044036	  0.511212	 -1.192990	  0.004479	  0.481709	 -1.362085	 -0.004841	  0.753739	 -1.372690	 -0.004730	  0.563736	 -1.234952	  1.450687	  0.822976	 -1.299771	  1.466797	  0.644638	 -1.215012	  1.450417	  0.481015	
     5	0.050	 -1.338555	  0.962084	  0.643975	 -1.143850	  0.941076	  0.799126	 -1.245207	  0.855769	  0.840765	 -1.249208	  0.671405	  0.945021	 -1.256199	  0.459884	  0.815009	 -1.269932	  0.391490	  0.815456	 -1.284955	  0.287714	  0.865148	 -1.298475	  0.051638	  0.811717	 -1.191738	  0.000762	  0.854922	 -1.114115	  0.961220	  0.518411	 -1.229948	  0.884346	  0.466014	 -1.232570	  0.665530	  0.364655	 -1.249092	  0.452336	  0.489629	 -1.254369	  0.394100	  0.492174	 -1.271479	  0.280056	  0.445640	 -1.306016	  0.044116	  0.511206	 -1.193012	  0.004517	  0.481660	 -1.362089	 -0.004832	  0.753737	 -1.372694	 -0.004701	  0.563723	 -1.234912	  1.450695	  0.823001	 -1.299718	  1.466807	  0.644651	 -1.214911	  1.450419	  0.481048	
     6	0.060	 -1.338559	  0.962113	  0.644016	 -1.143904	  0.941074	  0.799197	 -1.245165	  0.855756	  0.840797	 -1.248989	  0.671415	  0.945224	 -1.256183	  0.459890	  0.815056	 -1.270048	  0.391568	  0.815537	 -1.284983	  0.287739	  0.865148	 -1.298438	  0.051616	  0.811714	 -1.191674	  0.000768	  0.854950	 -1.114373	  0.961275	  0.518325	 -1.229871	  0.884337	  0.466020	 -1.232539	  0.665519	  0.364715	 -1.249119	  0.452376	  0.489668	 -1.254372	  0.394106	  0.492227	 -1.271493	  0.280096	  0.445680	 -1.305785	  0.044062	  0.511414	 -1.192956	  0.004467	  0.481737	 -1.362067	 -0.004813	  0.753739	 -1.372711	 -0.004636	  0.563707	 -1.234908	  1.450732	  0.823015	 -1.299701	  1.466830	  0.644676	 -1.214824	  1.450415	  0.481127	
     7	0.070	 -1.338537	  0.962145	  0.644066	 -1.143921	  0.941116	  0.799252	 -1.245096	  0.855736	  0.840821	 -1.248939	  0.671447	  0.945315	 -1.256168	  0.459896	  0.815086	 -1.269912	  0.391536	  0.815540	 -1.285019	  0.287770	  0.865162	 -1.298440	  0.051633	  0.811736	 -1.191545	  0.000785	  0.854958	 -1.114471	  0.961276	  0.518339	 -1.229820	  0.884345	  0.466054	 -1.232516	  0.665552	  0.364769	 -1.249087	  0.452380	  0.489731	 -1.254379	  0.394147	  0.492221	 -1.271518	  0.280154	  0.445709	 -1.305170	  0.043815	  0.511903	 -1.192975	  0.004456	  0.481765	 -1.362028	 -0.004831	  0.753729	 -1.372700	 -0.004616	  0.563704	 -1.234888	  1.450755	  0.823052	 -1.299673	  1.466852	  0.644712	 -1.214761	  1.450414	  0.481183	
     8	0.080	 -1.338500	  0.962156	  0.644107	 -1.143816	  0.941135	  0.799262	 -1.245106	  0.855735	  0.840881	 -1.248884	  0.671455	  0.945356	 -1.256112	  0.459879	  0.815116	 -1.269849	  0.391554	  0.815536	 -1.284953	  0.287733	  0.865186	 -1.298447	  0.051663	  0.811745	 -1.191535	  0.000799	  0.854947	 -1.114551	  0.961301	  0.518359	 -1.229795	  0.884388	  0.466112	 -1.232486	  0.665587	  0.364807	 -1.249037	  0.452390	  0.489750	 -1.254341	  0.394176	  0.492243	 -1.271472	  0.280170	  0.445729	 -1.305213	  0.043832	  0.511808	 -1.192972	  0.004477	  0.481768	 -1.362066	 -0.004805	  0.753743	 -1.372690	 -0.004600	  0.563693	 -1.234838	  1.450775	  0.823091	 -1.299626	  1.466872	  0.644759	 -1.214689	  1.450423	  0.481243	
     9	0.090	 -1.338503	  0.962178	  0.644163	 -1.143756	  0.941136	  0.799292	 -1.245061	  0.855726	  0.840922	 -1.248878	  0.671461	  0.945420	 -1.256054	  0.459879	  0.815161	 -1.269850	  0.391561	  0.815611	 -1.284905	  0.287721	  0.865197	 -1.298372	  0.051632	  0.811781	 -1.191453	  0.000829	  0.854981	 -1.114622	  0.961312	  0.518397	 -1.229821	  0.884444	  0.466178	 -1.232423	  0.665584	  0.364830	 -1.249005	  0.452389	  0.489804	 -1.254270	  0.394162	  0.492295	 -1.271437	  0.280170	  0.445772	 -1.305588	  0.043965	  0.511353	 -1.192958	  0.004477	  0.481761	 -1.362108	 -0.004747	  0.753740	 -1.372723	 -0.004559	  0.563687	 -1.234821	  1.450789	  0.823137	 -1.299579	  1.466881	  0.644803	 -1.214634	  1.450427	  0.481274	
